geo_id,"Analyze political media, misinformation, and criminal investigations","Assist with SQL databases, data analysis, and visualization tasks","Assist with academic research, scientific writing, and educational content creation","Assist with business development, analysis, research, and strategic planning","Assist with civic information, government services, and institutional research","Assist with creative content, marketing, and media production projects","Assist with game development, gaming software, and tabletop RPG content","Assist with job applications, career transitions, and interview preparation","Assist with mathematics, physics, and STEM homework and assignments","Assist with software development, debugging, and programming across multiple platforms","Assist with translation, writing, editing, and document formatting tasks",Build and manage subscription-based e-commerce operations,"Create prediction tools for sports analysis, gaming, and divination readings",Create professional presentations and draft workplace correspondence,Develop and debug automated trading bots and blockchain financial software,"Develop, deploy, and debug machine learning and AI systems","Extract and structure data from documents, images, and online sources","Get help with daily life tasks, personal information, and household management","Implement and troubleshoot authentication, authorization, and security systems for web applications",Provide entertainment recommendations and sports information including schedules and results,"Provide financial information, tax guidance, and consumer purchase assistance","Provide health, fitness, medical, and mental health information and clinical documentation assistance",Provide legal services and fraud investigation assistance,"Provide technical support across IT infrastructure, security, and engineering systems","Resolve payment, billing, subscription, and account access issues",not_classified
HI,,,7.776560788608982,3.833515881708653,,7.0098576122672505,,3.943044906900329,6.24315443592552,10.843373493975903,8.762322015334064,,,4.70974808324206,1.7524644030668126,1.8619934282584885,1.642935377875137,7.776560788608982,,,6.4622124863088715,6.352683461117197,2.190580503833516,4.600219058050383,,14.238773274917854
IA,,3.2753326509723646,8.802456499488228,3.5823950870010237,,5.220061412487206,2.1494370522006143,3.8894575230296824,9.007164790174002,13.920163766632548,7.881269191402252,,,4.094165813715456,,,,5.834186284544525,,,5.424769703172978,5.527123848515865,1.7400204708290683,7.471852610030706,,12.18014329580348
ID,,1.7103762827822122,8.437856328392247,3.8768529076396807,,8.665906499429875,,2.9646522234891677,7.753705815279361,13.683010262257698,6.499429874572406,,,2.7366020524515395,,,1.7103762827822122,5.701254275940707,,,6.1573546180159635,6.727480045610035,3.534777651083238,8.095781071835804,,11.744583808437856
IL,0.6224826071036251,2.8072745026241916,7.738313194190162,4.5038447455144635,1.4524594165751252,6.359087025509582,0.9398266813133164,4.84559990235567,8.409617966556816,12.754790674966436,7.250091541559868,0.6468936897351398,0.9520322226290736,4.345172708409618,1.3181984621017944,2.111558647626022,1.5012815818381546,7.372146954717442,0.5736604418405956,0.9520322226290736,5.187355059196876,5.44367142682778,2.575369217624802,6.676431099719273,0.2563163676309044,2.404491639204199
IN,,2.904424181019926,7.29483282674772,3.951367781155015,1.1482607227288075,6.484295845997974,1.0469436001350896,4.491725768321513,10.638297872340424,13.137453562985476,7.024653833164471,0.7429922323539345,1.3171225937183384,3.309692671394799,1.5873015873015872,2.4991556906450523,1.82370820668693,6.484295845997974,1.0469436001350896,0.6754474839581223,5.30226274907126,4.86322188449848,1.9587977034785544,7.058426207362379,,3.2083755488010803
KS,,2.6251025430680888,6.6447908121411,3.691550451189499,1.6406890894175554,6.152584085315833,1.4766201804757997,5.1681706316652996,7.054963084495489,11.484823625922887,9.433962264150944,,1.3125512715340444,3.281378178835111,1.3125512715340444,1.6406890894175554,2.050861361771944,7.875307629204266,,,4.7579983593109105,5.988515176374077,2.050861361771944,8.285479901558656,,6.070549630844955
KY,,2.146263910969793,8.108108108108109,3.815580286168521,1.192368839427663,6.041335453100159,2.2257551669316373,3.815580286168521,7.710651828298887,13.672496025437203,8.505564387917328,,,3.1796502384737675,1.2718600953895072,1.4308426073131957,1.192368839427663,6.995230524642289,,1.192368839427663,5.484896661367249,6.041335453100159,2.46422893481717,6.915739268680444,,6.597774244833069
LA,,2.089337175792507,9.438040345821326,4.827089337175792,1.1527377521613833,6.412103746397695,1.1527377521613833,4.106628242074928,7.708933717579251,10.734870317002882,9.5821325648415,1.2247838616714697,,4.610951008645533,1.1527377521613833,2.377521613832853,1.5129682997118157,7.420749279538905,,,5.403458213256484,4.899135446685879,2.737752161383286,6.195965417867435,,5.259365994236311
MA,0.637937768519724,2.5257127978127847,8.813956516078637,4.647832313500847,1.1977607082411146,5.84559302174196,0.8722822549147247,5.624267673480015,10.506444473375865,11.899492253612811,6.275224580132795,0.5337846634552792,0.8332248405155578,4.647832313500847,1.0415310506444473,2.09608123942195,1.65343054289806,6.691837000390574,0.6769951829188907,1.119645879442781,5.129540424423904,5.455018877750293,2.200234344486395,6.275224580132795,0.286421038927223,2.512693659679729
MD,0.8949059201468563,1.9963285910968336,7.618173474070675,4.405690683799908,1.5603487838458008,6.195502524093621,0.9178522257916476,5.392381826525929,7.8246902248737955,11.77145479577788,7.8246902248737955,0.5277650298301974,0.849013308857274,4.703992657182194,1.3767783386874712,2.0192748967416243,1.606241395135383,7.778797613584213,0.6424965580541533,0.8949059201468563,5.690683799908214,5.920146856356126,2.202845341899954,6.218448829738412,0.4130335016062414,2.7535566773749425
ME,,,7.228915662650602,4.647160068846816,,9.294320137693632,,4.991394148020654,6.024096385542169,10.843373493975903,7.917383820998279,,,5.163511187607573,,2.5817555938037864,,7.917383820998279,,,5.851979345955249,4.647160068846816,2.753872633390706,6.540447504302927,,13.59724612736661
MI,0.5377548734035402,2.3974904772574503,7.506161774591082,4.705355142280977,1.0755097468070804,5.960116513555904,1.546045261035178,4.817387407573381,8.80573605198297,12.704458884158637,8.133542460228545,0.5825677795205019,1.008290387631638,3.540219583239973,1.120322652924042,2.016580775263276,1.6356710732691015,6.789155276719695,0.5825677795205019,1.097916199865561,5.04145193815819,5.713645529912615,2.151019493614161,7.237284337889312,,3.293748599596684
MN,0.6268558231606731,1.9135598812273176,7.258330583965687,4.19003629165292,1.2537116463213462,6.829429231276807,1.5506433520290333,3.7611349389640383,7.7532167601451665,12.636093698449358,8.677004289013526,0.6598482349059717,0.7588254701418674,3.9260969976905313,1.3856812933025404,1.7815902342461234,1.319696469811943,7.291322995710986,0.5608709996700759,1.1547344110854505,5.839656878917849,6.202573408116133,2.144506763444408,7.258330583965687,,3.26624876278456
MO,0.5859375,2.2265625,8.2421875,3.3984374999999996,1.171875,6.406249999999999,1.5234375,4.6875,8.6328125,13.0859375,7.5,,1.0546875,3.2421875000000004,1.171875,1.875,1.5625,7.187499999999999,1.2109375,1.2890625,4.921875,5.9375,2.1484375,7.421875,,3.515625
MS,,,10.037878787878787,,,7.765151515151516,,4.166666666666666,8.712121212121213,10.227272727272728,14.204545454545457,,,3.0303030303030303,,,,7.386363636363637,,,3.5984848484848486,3.5984848484848486,,5.871212121212121,,21.401515151515152
MT,,,8.310991957104557,4.289544235924933,,6.702412868632708,,4.289544235924933,6.434316353887399,15.013404825737265,5.361930294906166,,,5.630026809651475,,,,7.774798927613941,,,5.093833780160858,5.630026809651475,,5.361930294906166,,20.10723860589812
NC,0.5045258940495623,2.225849532571598,7.612405401394866,4.540733046446061,1.1871197507048523,6.900133550971955,1.2464757382400948,5.030419943611812,8.576940198842559,12.093782460305684,7.834990354652025,0.6529158628876688,0.816144828609586,4.021368155512688,1.3206707226591483,2.04778156996587,1.498738685264876,6.7814215759014695,0.6825938566552902,0.8309838254933967,5.816886778453776,5.342038878171835,2.151654548152545,7.374981451253896,0.3116189345600237,2.5968244546668644
ND,,,9.090909090909092,,,,,,9.62566844919786,12.299465240641712,,,,8.02139037433155,,,,,,,,,,13.368983957219251,,47.593582887700535
NE,,,8.500590318772137,3.896103896103896,,5.312868949232586,,3.187721369539551,6.729634002361275,14.639905548996456,6.8476977567886665,,,4.014167650531287,1.8890200708382523,,,6.6115702479338845,,,8.028335301062574,6.6115702479338845,1.8890200708382523,6.965761511216057,,14.87603305785124
NH,,2.27027027027027,9.18918918918919,5.081081081081082,1.6216216216216215,6.702702702702703,1.8378378378378375,4.108108108108108,6.378378378378378,12.864864864864863,8.756756756756756,,,5.297297297297297,,2.702702702702702,1.7297297297297298,6.162162162162162,,,4.972972972972973,5.081081081081082,,6.486486486486487,,8.756756756756756
NJ,0.4167361226871144,1.9003167194532424,7.117852975495915,5.184197366227704,0.9668278046341056,6.317719619936655,0.9834972495415902,5.484247374562427,8.284714119019837,12.235372562093684,7.267877979663277,0.6834472412068678,1.0835139189864975,4.484080680113353,1.7836306051008504,1.7336222703783963,1.316886147691282,7.084514085680947,0.633438906484414,1.1001833638939824,6.101016836139356,5.867644607434572,2.5670945157526255,5.93432238706451,0.3500583430571762,3.1171861976996165
NM,,2.576489533011272,9.339774557165862,2.576489533011272,,5.314009661835748,,2.576489533011272,6.924315619967794,13.043478260869565,8.373590982286634,,,3.7037037037037033,,2.898550724637681,,9.017713365539452,,,4.99194847020934,3.7037037037037033,,10.305958132045088,,14.653784219001611
NV,,1.2834821428571428,5.580357142857143,5.580357142857143,,7.756696428571429,1.4508928571428572,3.7388392857142856,6.361607142857142,12.5,7.8125,0.8370535714285714,1.0602678571428572,3.7388392857142856,1.6183035714285716,2.1763392857142856,1.6183035714285716,6.8638392857142865,,1.171875,6.4174107142857135,6.919642857142858,3.459821428571429,7.6450892857142865,,4.408482142857143
NY,0.5655777669429546,2.052657240370551,6.933203315455875,5.38274012676743,1.2384202827888835,6.630911750365676,0.8434909800097513,5.37298878595807,7.835202340321794,11.618722574353974,7.435397367137981,0.8044856167723062,0.8727450024378351,5.051194539249146,1.530960507069722,1.7211116528522672,1.6138469039492929,7.718186250609459,0.560702096538274,1.1701608971233546,5.753291077523159,5.894685519258898,2.7303754266211606,5.602145294978059,0.3266699171136031,2.7401267674305214
OH,0.5947660586835845,2.1609833465503567,6.661379857256146,4.143536875495638,1.26883425852498,5.808881839809675,1.1102299762093577,3.905630452022205,7.613005551149881,11.597938144329897,15.166534496431405,0.6938937351308485,0.8921490880253766,3.0927835051546393,1.2490087232355274,1.9230769230769231,1.387787470261697,6.76050753370341,0.5947660586835845,0.9318001586042824,4.936558287073751,5.015860428231562,2.141157811260904,7.513877874702617,0.3370340999206979,2.4980174464710547
OK,,3.3632286995515694,8.74439461883408,4.334828101644246,1.1210762331838564,7.249626307922272,1.7937219730941705,4.110612855007474,7.399103139013453,13.004484304932737,8.221225710014949,,,2.914798206278027,1.345291479820628,1.5695067264573992,1.4200298953662185,5.9790732436472345,,,5.23168908819133,5.5306427503736915,2.914798206278027,7.473841554559043,,6.278026905829597
OR,0.7804546996946047,2.5788937902952154,6.616898540889039,4.241601628775025,1.187648456057007,6.54903291482864,1.4930437733288089,3.936206311503223,7.906345436036648,12.317611129962676,6.88836104513064,0.5768578215134035,0.9501187648456058,4.038004750593824,1.3912453342382085,1.7305734645402102,1.323379708177808,7.8384798099762465,,1.051917203936206,5.497115710892433,6.345436036647438,2.273498473023414,8.279606379368849,,4.2076688157448245
PA,0.6343863283272916,2.2656654583117555,8.24702226825479,4.557224236147074,1.2687726566545832,5.463490419471776,1.035732780942517,4.570170895908856,9.722941481097877,12.907819782496116,7.470222682547903,0.6861729673744174,1.0486794407042983,3.8969445882962193,1.2817193164163645,2.1491455204557224,1.657172449508027,7.392542723977213,0.5955463490419471,0.8933195235629209,5.0491973070947695,5.787156913516313,2.0067322630761266,6.408596582081823,0.310719834282755,2.6929052304505436
RI,,2.834008097165992,9.31174089068826,3.77867746288799,,5.53306342780027,,5.263157894736842,9.7165991902834,10.796221322537113,7.28744939271255,,,3.508771929824561,,3.2388663967611335,,7.96221322537112,,,5.263157894736842,4.4534412955465585,2.968960863697706,6.0728744939271255,,12.010796221322536
SC,0.960960960960961,2.3423423423423424,7.027027027027027,5.105105105105105,0.9009009009009008,7.627627627627627,1.3813813813813811,4.2642642642642645,7.927927927927928,11.411411411411413,9.54954954954955,,,3.963963963963964,1.2612612612612613,1.5615615615615617,1.3213213213213213,6.426426426426427,,,6.186186186186187,5.285285285285285,2.2222222222222223,7.207207207207207,,6.066066066066067
SD,,,8.968609865470851,,,,,,10.31390134529148,12.10762331838565,8.071748878923767,,,,,,,8.520179372197308,,,,,,10.31390134529148,,41.70403587443946
TN,0.589512876202296,1.923673596028545,7.446478436239529,4.560968042196711,1.3031337263419174,7.167235494880546,1.3031337263419174,3.5060502637294446,8.035991312441825,12.348743406763884,8.19112627986348,0.7756748371082842,0.8067018305926157,4.09556313993174,1.272106732857586,2.016754576481539,1.6444306546695624,6.856965560037233,0.8067018305926157,1.272106732857586,5.957182748991623,5.771020788085634,2.2339435308718585,7.012100527458889,,3.102699348433137
TX,0.5264312349199386,2.3744242158368065,7.068436060539591,4.8640052643123495,1.162535643781531,6.569423119105067,1.036411493748629,5.0559333187102435,8.18161877604738,13.05110769905681,7.33165167799956,0.7677122175915772,0.6635227023470058,4.019521824961615,1.2886597938144329,1.7821890765518753,1.5080061416977408,7.117788988813337,0.8006141697740733,0.9596402719894712,5.927835051546391,5.11076990568107,2.610221539811362,7.22746216275499,0.3838561087957886,2.610221539811362
UT,0.5708529214237743,3.760913364674278,6.212222968435191,4.667562122229684,1.1417058428475486,7.219610476830088,1.7125587642713231,3.4251175285426463,7.1524513096037605,13.8683680322364,8.764271323035594,0.6715916722632639,0.6380120886501007,3.089321692411014,1.3767629281396911,1.7797179314976492,1.2424445936870383,6.749496306245803,0.8059100067159166,0.7051712558764271,5.372733378106111,5.574210879785091,2.384150436534587,7.118871725990597,,3.995970449966421
VA,0.6726759047490919,2.1929234494820395,7.870308085564375,4.358939862774116,1.5202475447329478,5.515942418942553,1.1166420018834924,4.883627068478407,9.282927485537469,12.027445176913764,9.901789317906632,0.5381407237992736,0.7533970133189829,4.345486344679133,0.982106820933674,1.8565854971074935,1.6951432799677115,6.874747746535719,0.8475716399838558,0.8206646037938921,4.950894658953317,4.708731333243643,1.923853087582403,7.453249024619939,0.3766985066594914,2.5292614018565853
VT,,,6.588235294117648,5.411764705882352,,7.0588235294117645,,4.470588235294118,7.529411764705881,11.058823529411764,6.588235294117648,,,3.5294117647058822,,,,6.588235294117648,,,6.8235294117647065,6.588235294117648,,10.823529411764705,,16.941176470588236
WA,0.7195970256656272,2.2787239146078195,7.064044135284241,3.8018709522667304,1.1153753897817222,6.08059486687455,1.295274646198129,5.720796354041736,7.267929959222835,13.528424082513792,6.284480690813145,0.6716238906212522,0.6836171743823459,3.5380187095226674,1.0074358359318782,2.194770928280163,1.5591268889421923,8.01151355241065,0.7675701607100024,1.3072679299592227,5.840729191652675,5.6488366514751736,1.9668985368193812,8.70712401055409,0.2878388102662509,2.6505157112017272
WI,0.7652033830044301,2.4164317358034633,7.611759967780911,3.78574305275876,1.8123238018525976,6.322996375352396,1.1276681433749496,3.664921465968586,9.665726943213851,12.56544502617801,7.24929520741039,0.684655658477648,0.684655658477648,3.906564639548933,1.2484897301651228,1.973419250906162,1.449859041482078,7.652033830044301,,1.288763592428514,5.71888844140153,6.000805477245268,2.2150624244865083,6.725734997986307,,3.4635521546516315
WV,,,8.860759493670885,,,7.2784810126582276,,,6.962025316455696,11.708860759493673,9.81012658227848,,,,,,,6.012658227848101,,,,7.59493670886076,,8.860759493670885,,32.91139240506329
WY,,,4.377880184331797,,,,,6.221198156682028,,5.0691244239631335,11.29032258064516,,,,,,,4.377880184331797,,,,4.147465437788019,,3.4562211981566824,,61.05990783410138
