geo_id,"Assist with academic research, writing, and coursework across scientific and scholarly disciplines","Assist with business planning, strategy, financial analysis, and research",Assist with career advancement and academic application preparation,"Assist with database management, data analysis, and document extraction","Assist with game development, graphics programming, and performance optimization",Assist with personal life management and everyday tasks,Create and edit diverse multimedia content across multiple genres and formats,"Create and fix data visualizations, dashboards, and analytical reports",Create and format professional business documents and presentations,"Create and manage digital marketing, branding, and social media content",Debug and build web applications and fix CSS/HTML styling issues,Develop and implement AI/ML systems across multiple application domains,Develop automated trading systems and e-commerce platforms,Generate guidance for speculative and aleatory activities,"Help debug, develop, and optimize software across multiple programming domains","Help with academic research, writing, and educational content across multiple disciplines","Help with immigration, visa applications, and international travel documentation","Provide assistance, document drafting, and fraud investigation services",Provide financial guidance and investment assistance across multiple domains,Provide health information and well-being support,"Provide technical assistance with hardware, embedded systems, and engineering tasks","Translate, edit, format, and summarize documents and assist with language learning","Troubleshoot IT infrastructure, systems, and assist with cybersecurity tasks",not_classified
KS,9.467989179440938,4.328223624887286,4.508566275924256,3.3363390441839496,1.623083859332732,3.4265103697024344,7.484220018034265,,4.05770964833183,5.229936880072137,3.2461677186654643,2.254283137962128,,,10.009017132551849,9.287646528403966,,2.3444544634806133,6.131650135256988,5.139765554553652,1.8935978358881875,4.328223624887286,8.025247971145175,3.87736699729486
KY,8.132260947274352,4.110813226094727,2.949061662198391,2.8596961572832886,2.5022341376228776,4.289544235924933,10.098302055406611,,4.20017873100983,4.557640750670242,3.753351206434316,3.038427167113494,,,10.366398570151922,10.723860589812332,,2.8596961572832886,4.915102770330653,4.825737265415549,1.7873100983020551,3.932082216264522,6.881143878462913,3.2171581769436997
LA,10.040160642570282,3.5341365461847385,3.132530120481928,4.417670682730924,1.686746987951807,4.497991967871486,7.46987951807229,,2.0883534136546187,6.024096385542169,3.132530120481928,2.9718875502008033,,,9.156626506024097,12.289156626506024,,2.6506024096385543,5.220883534136546,5.863453815261044,1.7670682730923692,3.3734939759036147,6.987951807228916,3.694779116465864
MA,11.318013734812467,4.305335446381405,4.780771262546223,3.69783412572636,1.056524035921817,3.750660327522451,5.3486529318541995,0.9112519809825672,4.7147385103011095,3.9751716851558374,2.1922873745377705,3.26201796090861,0.7527733755942948,0.7527733755942948,10.75013206550449,11.701003697834125,0.3169572107765451,1.7828843106180663,5.639197041732699,5.810882197569995,2.535657686212361,3.882725832012678,5.890121500264131,0.8716323296354992
MD,9.85781990521327,4.786729857819905,4.76303317535545,2.985781990521327,1.3981042654028435,5.118483412322275,5.734597156398104,0.9478672985781992,5.42654028436019,4.976303317535545,2.582938388625593,2.345971563981043,1.2322274881516588,0.7109004739336493,9.786729857819903,10.710900473933648,,2.2748815165876777,5.521327014218009,5.308056872037914,1.6824644549763033,4.028436018957346,6.303317535545023,1.5165876777251186
ME,8.123791102514506,3.481624758220503,3.0947775628626695,3.481624758220503,,5.415860735009671,6.5764023210831715,,6.189555125725339,5.996131528046422,,,,,9.090909090909092,11.798839458413926,,,6.382978723404255,5.222437137330754,,4.061895551257253,7.930367504835589,13.152804642166345
MI,9.390027841052898,4.277398127056442,3.6699569729182486,2.733485193621868,2.176664135661858,3.9230574538091623,6.428752214629208,0.7086813464945584,4.657048848392812,4.201467982789167,3.290306251581878,2.733485193621868,0.9870918754745632,0.6074411541381929,10.832700582131109,11.364211592002023,,2.1513540875727664,5.3910402429764614,5.947861300936472,2.353834472285498,3.4674765882055176,7.618324474816503,1.088332067830929
MN,8.433734939759036,3.723986856516977,3.1033223804308143,3.97955458196422,1.460387002555677,3.760496531580869,6.790799561883899,0.7301935012778387,4.527199707922599,5.184373859072655,3.0668127053669223,2.701715954728003,0.9492515516611902,0.6936838262139468,9.492515516611904,10.551296093464767,,2.701715954728003,6.206644760861629,6.206644760861629,2.190580503833516,3.723986856516977,8.287696239503468,1.5334063526834611
MO,9.094535301156762,4.627044276027124,3.2708416433984846,3.7096130833665737,1.7550857598723573,3.6298364579178304,7.538891104906262,0.8775428799361786,4.427602712405266,4.387714399680894,2.9118468288791384,3.0714000797766254,0.7578779417630634,,11.088950937375348,10.570402871958516,,2.4730753889110493,5.7838053450339055,4.98603909054647,1.7151974471479856,2.9517351416035105,8.895093737534902,1.4758675708017552
MS,11.131059245960502,3.949730700179533,2.872531418312388,,,,14.721723518850988,,3.4111310592459607,4.129263913824058,3.7701974865350087,2.872531418312388,,,8.617594254937163,8.797127468581687,,,5.745062836624776,6.642728904847396,,3.231597845601436,4.129263913824058,15.978456014362658
MT,7.552083333333333,4.427083333333334,,4.6875,,,4.947916666666666,,4.947916666666666,7.8125,,,,,11.458333333333332,6.25,,,7.291666666666667,6.25,,5.46875,7.03125,21.875
NC,9.050952303434803,4.769656519615824,3.711541592055999,3.5487546801237184,1.530196972163438,3.7766563568289104,6.202181344619893,0.7325411036952629,4.737099137229367,5.437082858538173,2.6371479733029464,2.6371479733029464,1.0581149275598245,0.9930001627869118,9.392804818492593,11.281132996907049,0.260459059091649,1.7906560312550872,6.462640403711542,5.909164903141787,2.1325085463128763,3.939443268761192,7.081230669054209,0.9278853980139996
ND,14.492753623188406,,,,,,9.66183574879227,,,,,,,,7.729468599033816,11.594202898550725,,,,,,,8.695652173913043,47.82608695652174
NE,12.24764468371467,3.3647375504710633,3.768506056527591,2.6917900403768504,2.2880215343203227,4.306864064602961,7.806191117092867,,3.768506056527591,5.114401076716016,3.4993270524899054,,,,9.01749663526245,11.036339165545089,,,6.056527590847914,7.671601615074024,,3.768506056527591,6.056527590847914,7.537012113055182
NH,9.325153374233128,6.012269938650307,2.6993865030674846,2.5766871165644174,2.8220858895705523,5.276073619631902,6.503067484662576,,4.41717791411043,4.9079754601226995,2.6993865030674846,2.8220858895705523,,,12.024539877300612,8.957055214723926,,,6.871165644171779,5.153374233128835,2.5766871165644174,2.5766871165644174,6.503067484662576,5.276073619631902
NJ,8.957245115109306,4.623718320758368,5.029986457728768,3.5209905204101375,1.122073902108725,3.9079125556200425,5.107370864770749,0.9673050880247632,4.971948152447282,5.416908492938672,2.5536854323853744,3.0179918746372607,1.257496614432192,0.9092667827432772,10.350164441864964,10.524279357709425,,2.379570516540917,6.132714258076997,5.436254594699168,1.6637647514025924,4.352872896111434,6.674405107370865,1.122073902108725
NM,8.860759493670885,4.3399638336347195,,,,3.79746835443038,6.329113924050633,,6.50994575045208,3.9783001808318263,,2.8933092224231465,,,9.584086799276673,9.76491862567812,,,7.775768535262206,6.50994575045208,3.25497287522604,5.967450271247739,6.6907775768535265,13.743218806509946
NV,9.278350515463918,4.0694519804666305,1.7362995116657625,3.472599023331525,2.0075963103635375,4.123711340206185,7.976125881714596,0.9224091155724362,3.7438958220293,6.7281606077048295,2.6587086272381986,3.5811177428106347,1.1937059142702116,1.3022246337493215,9.224091155724365,8.735756918068367,,2.441671188279978,5.208898534997287,6.619641888225719,2.224633749321758,4.286489419424851,6.83667932718394,1.6277807921866525
NY,6.9117094190115385,2.706845195060586,2.4957344052748778,2.498626333902079,0.8936059458052574,2.423436189594841,6.587813412764973,0.8993898030596605,3.0249573440527486,3.1782295612944274,24.57560947395818,3.134850631886405,0.6506839411203331,0.4916278666242517,8.522513664362762,6.69770670059863,0.1417045027328725,1.2608808814598456,3.264987420110472,3.490557853032187,2.1139998264842825,8.53408137887157,3.930131004366813,1.570317244570404
OH,8.990536277602523,3.9657503379900856,3.3799008562415502,3.5601622352410995,2.410995944118973,3.785488958990536,7.255520504731862,0.6534474988733664,4.033348355114916,4.8670572329878325,3.830554303740424,2.7264533573681837,0.743578188373141,0.6985128436232537,10.56782334384858,10.657954033348355,,2.140603875619649,5.4529067147363675,5.993690851735016,2.0279405137449302,3.627760252365931,7.593510590356016,1.0365029292474088
OK,7.142857142857142,3.6918138041733553,2.9695024077046552,3.1300160513643664,1.9261637239165328,3.611556982343499,8.346709470304976,,5.056179775280898,4.574638844301766,3.2905296950240768,2.889245585874799,,,10.43338683788122,12.921348314606742,,3.451043338683788,3.8523274478330656,5.698234349919743,2.0064205457463884,3.77207062600321,7.945425361155698,3.2905296950240768
OR,8.439231019876182,3.6168132942326494,3.3235581622678394,3.0303030303030303,1.9876181166503748,4.235907461713913,7.526881720430108,0.7168458781362007,4.594330400782014,5.1482567611599865,3.1280547409579667,2.965135223199739,0.7820136852394917,0.6842619745845552,9.579667644183774,9.67741935483871,,2.346041055718475,6.875203649397197,7.298794395568589,2.183121537960248,3.6168132942326494,7.461713913326816,0.7820136852394917
PA,10.018105009052505,3.817139408569704,4.11888955944478,3.590826795413397,1.5992757996378997,3.711526855763428,6.110440555220277,0.6940253470126735,4.888352444176222,4.828002414001207,2.821363910681955,3.31925165962583,0.7694628847314424,0.663850331925166,10.92335546167773,11.225105612552806,,2.082076041038021,5.899215449607724,5.235365117682559,2.579963789981895,3.8322269161134583,6.2009656004828,1.0712130356065177
RI,10.549777117384844,3.566121842496285,2.526002971768202,4.011887072808321,,5.49777117384844,4.457652303120357,,4.75482912332838,4.75482912332838,3.7147102526002977,2.37741456166419,,,12.035661218424965,12.184249628528974,,,4.903417533432393,5.646359583952452,,4.160475482912332,6.240713224368499,8.618127786032689
SC,8.564069542820347,5.730843528654217,2.5756600128783,3.4127495170637476,1.4810045074050224,4.056664520283323,6.2459755312298775,,5.4088860270444306,5.344494526722473,3.4127495170637476,2.06052801030264,,,10.56020605280103,9.658725048293624,,2.2537025112685125,5.4088860270444306,5.022537025112685,1.8673535093367677,4.507405022537025,8.692852543464264,3.7347070186735354
SD,12.25296442687747,,,,,,7.114624505928854,,,,,,,,10.67193675889328,10.67193675889328,,,,5.928853754940711,,,6.719367588932807,46.6403162055336
TN,8.874958759485319,3.860112174199934,3.95908940943583,3.134279115803365,2.1774991751897064,3.6621577037281425,8.545034642032332,0.7588254701418674,4.157043879907621,5.212801055757176,2.9693170570768723,2.6393929396238867,1.0557571758495543,0.4948861761794788,11.316397228637411,9.963708347080171,,2.210491586935005,5.377763114483669,6.169580996370835,1.6826129990102277,3.5301880567469484,7.060376113493897,1.187726822830749
TX,8.85776413404963,4.464057303658224,3.958812995651061,3.5047326682015862,1.6820158608339728,3.8820670248145306,6.152468662061908,0.9849066257354822,4.937324123816833,5.372217958557176,3.1146073164492196,2.507035047326682,1.170376055257099,0.7546687132258889,10.968278332054233,10.45024302890765,0.2877973906369915,2.276797134817089,5.9733947301100025,5.423381939114863,2.084932207725761,3.485546175492453,6.779227423893579,0.927347147608084
UT,8.236239453595822,4.580152671755725,3.0534351145038165,3.5355564483728403,2.772197669746886,4.13820811570912,6.3077541181197265,1.245480112494978,3.897147448774609,5.7854560064282845,3.173965447971073,3.2543190036159104,0.7231820008035356,,11.611088790678988,8.437123342707915,,2.008838891120932,6.347930895942146,5.102450783447168,2.3704298915227,3.2543190036159104,8.758537565287265,1.4061872237846524
VA,10.20113053766268,3.799132378072827,3.5230708557907193,3.5887997896674113,1.3014328907585118,3.2601551202839487,8.34757460233995,1.0385171552517418,4.430130143289076,4.403838569738399,2.8000525831471013,3.615091363218089,0.8544761403970027,0.5389772577888786,11.173918759037727,10.082818456684633,,1.9192848691994215,4.877086893650585,4.4695675036150915,2.497699487314316,4.824503746549231,7.1907453661101615,1.2619955304324963
VT,9.207708779443257,5.995717344753747,4.068522483940043,,,4.710920770877944,3.854389721627409,,4.068522483940043,5.139186295503212,3.2119914346895073,,,,6.852248394004283,13.49036402569593,,,5.353319057815846,6.423982869379015,3.2119914346895073,4.496788008565311,7.922912205567452,11.991434689507496
WA,8.501909746781724,3.904371198189277,4.696562455792899,3.6638845664167494,1.669260149950488,4.45607582402037,5.587777620596972,0.834630074975244,4.399490734191541,4.187296647333428,2.6736454944122223,2.6312066770405997,0.6082897156599236,0.6648748054887538,11.585797142452964,8.530202291696138,0.3112179940585656,2.079502051209506,7.356061677747913,6.563870420144292,2.419012590182487,3.5648606592162966,8.190691752723158,0.9195077097184892
WI,8.184588593818024,4.092294296909012,3.48280365694384,3.744013931214628,1.436656508489334,3.8746190683500217,6.31258162821071,0.696560731388768,3.744013931214628,4.745319982585982,3.0039181541140616,3.7875489769264257,0.827165868524162,0.827165868524162,11.75446234218546,11.449717022202874,,1.828471919895516,6.443186765346104,6.31258162821071,1.697866782760122,3.308663474096648,6.96560731388768,1.480191554201132
WV,7.194244604316546,,,,,,13.309352517985612,,,,,,,,8.633093525179856,12.23021582733813,,,7.913669064748201,5.755395683453238,,,5.755395683453238,39.20863309352518
WY,2.7450980392156863,,,,,,44.18300653594771,,,,,,,,3.5294117647058822,2.3529411764705883,,,,2.2222222222222223,,,2.6143790849673203,42.35294117647059
