geo_id,ai_autonomy_mean,ai_education_years_mean,artifact_academic_paper_or_thesis_pct,artifact_advice_or_recommendation_pct,artifact_analysis_or_summary_pct,artifact_app_or_website_pct,artifact_audio_or_music_pct,artifact_blog_or_article_pct,artifact_chart_or_visualization_pct,artifact_code_fix_or_debug_pct,artifact_config_or_infra_pct,artifact_creative_writing_pct,artifact_data_or_spreadsheet_pct,artifact_document_or_report_pct,artifact_educational_material_pct,artifact_email_or_message_pct,artifact_explanation_or_answer_pct,artifact_game_or_interactive_pct,artifact_idea_or_brainstorm_pct,artifact_image_or_graphic_pct,artifact_marketing_or_social_content_pct,artifact_math_or_calculation_pct,artifact_ml_or_ai_system_pct,artifact_none_pct,artifact_other_pct,artifact_plan_or_strategy_pct,artifact_presentation_or_slides_pct,artifact_recipe_or_meal_plan_pct,artifact_resume_or_job_application_pct,artifact_script_or_snippet_pct,artifact_sql_or_database_query_pct,artifact_translation_pct,artifact_ui_or_design_mockup_pct,artifact_video_or_animation_pct,collaboration_bucket_augmentation_pct,collaboration_bucket_automation_pct,collaboration_directive_pct,collaboration_feedback_loop_pct,collaboration_learning_pct,collaboration_none_pct,collaboration_task_iteration_pct,collaboration_validation_pct,human_education_years_mean,human_only_ability_pct,human_only_time_mean,human_with_ai_time_mean,multitasking_pct,usage_pct,usage_per_capita_index,use_case_coursework_pct,use_case_personal_pct,use_case_work_pct,wave
GA,2.71,12.37,0.85,13.13,5.49,3.81,0.05,0.43,1.73,2.69,1.27,1.78,2.66,13.96,1.92,5.57,16.72,0.37,0.91,0.7,2.67,1.74,0.37,6.93,0.12,4.68,2.0,0.64,2.22,2.93,0.39,0.32,0.76,0.18,50.18,49.82,31.9,16.77,15.84,2.32,29.87,3.3,11.72,90.77,4.48,40.69,26.53,3.12,0.93,13.33,44.15,42.52,2026-04
HI,2.7,12.18,0.82,14.1,5.53,3.08,0.0,0.32,1.67,1.31,1.52,1.95,2.34,15.38,1.28,5.67,17.86,0.39,0.71,0.43,2.45,1.59,0.25,9.0,0.28,4.82,1.31,0.82,0.74,2.55,0.21,0.5,1.03,0.11,48.96,51.04,33.56,16.3,16.83,2.31,28.04,2.95,11.52,91.38,4.08,39.38,26.32,0.45,1.16,8.09,48.72,43.19,2026-04
IA,2.67,12.49,0.82,12.42,6.21,3.33,0.08,0.74,2.01,2.71,1.73,2.22,2.8,13.24,1.89,4.28,18.05,0.53,0.9,0.58,2.51,2.59,0.25,7.36,0.12,3.78,1.77,0.86,1.23,3.5,0.62,0.12,0.66,0.08,48.72,51.28,32.91,16.85,15.56,2.98,28.06,3.64,11.93,92.31,3.92,41.88,24.34,0.39,0.42,18.05,43.79,38.16,2026-04
ID,2.74,12.43,0.4,11.99,5.77,3.63,0.08,0.48,1.82,2.62,1.33,0.97,2.83,15.79,1.49,5.21,16.88,0.4,1.05,0.89,3.19,1.82,0.32,9.81,0.24,3.63,1.09,0.77,1.09,2.91,0.12,0.24,0.93,0.2,45.55,54.45,35.63,17.23,13.74,2.92,26.96,3.53,11.84,90.55,4.15,38.77,24.92,0.4,0.69,9.13,45.05,45.82,2026-04
IL,2.69,12.29,0.78,13.82,5.8,3.08,0.03,0.46,1.83,2.64,1.44,1.46,2.63,12.38,1.86,5.56,18.28,0.37,0.93,0.59,1.84,2.07,0.24,9.11,0.22,3.88,1.77,0.74,2.07,2.67,0.36,0.35,0.63,0.1,50.89,49.11,31.17,15.75,17.91,4.46,27.33,3.37,11.67,92.2,4.02,38.71,24.29,3.82,1.01,14.35,46.93,38.72,2026-04
IN,2.7,12.46,1.23,11.54,5.15,3.19,0.05,0.38,2.11,3.17,1.5,1.88,2.35,13.65,2.01,4.46,17.69,0.52,0.92,0.61,1.67,3.05,0.32,9.31,0.09,3.64,2.2,0.65,1.86,3.31,0.42,0.26,0.72,0.1,50.49,49.51,30.45,16.66,16.68,4.86,27.57,3.78,11.85,90.83,4.26,41.55,24.63,1.32,0.65,21.58,43.11,35.31,2026-04
KS,2.69,12.23,0.62,13.09,6.33,3.03,0.08,0.51,1.71,2.84,1.63,2.72,2.25,12.43,1.98,4.7,18.84,0.66,1.09,0.74,2.33,1.86,0.12,7.11,0.12,4.58,1.44,0.39,1.86,3.26,0.39,0.58,0.51,0.19,49.48,50.52,30.33,18.77,16.9,2.81,28.18,3.01,11.47,90.4,4.37,45.54,24.9,0.42,0.49,13.17,49.53,37.3,2026-04
KY,2.72,12.27,0.84,13.59,6.86,3.86,0.06,0.41,1.28,2.59,1.68,3.33,2.77,13.65,2.27,4.02,17.67,0.56,1.06,0.72,2.21,2.06,0.19,6.98,0.22,3.86,1.28,0.78,1.43,2.77,0.31,0.12,0.44,0.12,48.03,51.97,32.54,17.66,15.72,3.41,27.35,3.31,11.63,91.39,4.42,42.33,23.74,0.52,0.39,12.19,48.89,38.91,2026-04
LA,2.71,12.35,1.3,14.14,5.58,3.87,0.0,0.54,1.52,2.71,1.33,2.52,2.57,15.12,2.25,4.61,16.93,0.51,0.79,0.57,1.9,1.52,0.22,7.61,0.16,4.09,1.71,0.62,1.35,2.87,0.22,0.14,0.65,0.08,48.63,51.37,32.72,17.2,15.46,2.84,28.68,3.11,11.68,90.84,4.47,39.59,25.16,0.6,0.45,14.41,45.59,40.0,2026-04
MA,2.67,12.92,1.68,13.15,6.47,2.58,0.03,0.57,2.02,2.52,1.23,1.34,2.76,13.42,1.88,5.87,18.23,0.36,0.91,0.62,1.75,2.21,0.26,6.65,0.11,3.69,2.45,0.81,2.16,3.13,0.2,0.29,0.55,0.12,53.66,46.34,30.44,14.85,18.43,2.25,30.14,3.88,12.45,92.21,4.09,39.57,24.35,3.2,1.49,19.03,42.66,38.32,2026-04
MD,2.67,12.4,0.81,14.42,5.68,2.87,0.03,0.33,1.98,2.33,1.41,1.88,2.39,14.3,1.93,5.55,17.84,0.44,0.95,0.72,1.98,2.18,0.31,6.58,0.11,3.78,1.87,0.75,2.39,2.85,0.27,0.32,0.56,0.17,51.67,48.33,31.4,15.8,16.9,2.33,29.93,3.62,11.79,92.22,4.18,40.29,26.24,1.95,1.06,13.65,47.35,38.99,2026-04
ME,2.7,12.46,0.85,12.93,6.86,3.4,0.0,0.26,1.5,2.09,1.76,2.02,2.74,14.24,1.7,5.88,18.94,0.59,1.11,0.39,2.35,2.42,0.13,6.27,0.0,3.92,1.24,1.31,1.24,2.61,0.13,0.2,0.85,0.07,51.51,48.49,30.02,17.14,17.53,2.75,28.84,3.73,11.87,91.25,3.8,40.11,26.57,0.25,0.62,12.72,48.34,38.94,2026-04
MI,2.68,12.4,0.84,13.33,6.07,3.56,0.02,0.37,1.73,2.63,1.32,2.01,2.35,13.8,2.17,4.73,18.31,0.56,0.81,0.64,2.02,2.02,0.3,7.61,0.12,3.95,1.83,0.73,1.91,2.89,0.23,0.23,0.73,0.15,49.63,50.37,32.31,16.7,16.65,2.7,28.11,3.52,11.8,91.44,4.16,39.83,25.07,1.97,0.67,15.82,45.7,38.48,2026-04
MN,2.68,12.16,0.62,15.33,5.55,2.98,0.03,0.38,1.79,2.38,1.66,2.09,2.44,12.92,1.82,5.11,19.35,0.47,1.04,0.68,2.11,1.66,0.17,7.65,0.1,4.02,1.59,1.02,1.56,2.21,0.32,0.19,0.58,0.16,50.29,49.71,31.07,16.91,17.21,3.5,27.75,3.57,11.48,92.02,4.06,40.0,25.42,1.41,0.84,10.83,50.68,38.48,2026-04
MO,2.72,12.39,0.82,13.79,6.05,3.25,0.03,0.42,1.68,2.31,1.91,2.36,2.36,14.56,1.79,4.65,17.95,0.59,0.71,0.56,2.25,1.58,0.4,7.71,0.15,3.65,1.59,0.73,1.83,2.91,0.38,0.19,0.68,0.13,49.44,50.56,32.35,16.85,16.31,2.69,28.18,3.63,11.8,91.35,4.14,39.45,24.13,1.28,0.71,11.86,46.64,41.5,2026-04
MS,2.72,12.54,0.67,10.83,5.11,4.37,0.07,0.34,2.22,3.84,1.68,3.36,2.56,15.88,4.44,5.05,15.48,0.67,0.74,0.67,2.42,1.62,0.27,6.26,0.13,3.36,1.75,0.67,1.35,2.96,0.13,0.2,0.81,0.07,48.58,51.42,34.06,16.25,14.01,2.17,30.06,3.45,11.93,90.04,4.49,41.72,26.78,0.24,0.28,17.83,43.27,38.9,2026-04
MT,2.7,12.44,0.42,12.51,6.26,2.37,0.0,0.42,1.86,2.62,1.52,1.86,2.28,15.3,1.94,6.0,17.24,0.51,0.93,0.85,1.69,2.03,0.51,8.2,0.08,4.4,1.44,0.85,1.44,3.38,0.17,0.34,0.51,0.08,47.69,52.31,33.67,17.35,13.18,2.47,29.59,3.74,11.96,91.97,3.81,38.33,25.61,0.19,0.59,10.66,42.98,46.36,2026-04
NC,2.69,12.37,0.86,13.7,5.61,3.36,0.02,0.41,1.73,2.34,1.45,1.97,2.66,13.8,1.98,5.44,17.34,0.38,0.97,0.71,2.34,2.07,0.23,7.2,0.05,4.17,1.84,0.79,2.08,2.89,0.31,0.35,0.8,0.15,50.56,49.44,31.48,16.62,16.36,2.7,29.59,3.25,11.78,91.36,4.32,41.11,25.99,2.87,0.89,13.72,45.99,40.3,2026-04
ND,2.72,12.4,0.72,13.26,4.84,3.76,0.0,0.18,2.51,2.33,2.33,2.87,3.41,14.7,3.05,1.97,16.49,0.72,1.43,0.18,1.61,2.15,0.0,6.27,0.0,3.23,3.76,0.9,1.25,4.66,0.72,0.0,0.54,0.18,49.54,50.46,31.96,16.88,14.9,3.23,28.37,4.67,11.87,91.4,4.22,38.85,25.94,0.09,0.39,17.71,43.29,39.0,2026-04
NE,2.7,12.1,0.52,14.14,5.67,3.74,0.04,0.34,1.63,2.66,1.38,2.88,2.28,14.31,1.85,4.56,17.83,0.39,0.95,0.73,2.19,1.59,0.47,7.35,0.04,4.04,1.12,1.12,1.72,3.05,0.47,0.13,0.56,0.26,49.25,50.75,31.62,17.66,16.03,2.89,27.92,3.88,11.35,90.46,4.47,41.83,25.44,0.38,0.65,11.51,48.75,39.73,2026-04
NH,2.7,12.6,0.75,13.4,6.73,3.04,0.0,0.47,1.87,2.52,1.63,1.59,2.52,14.76,1.91,5.7,17.19,0.65,1.03,0.84,2.48,1.68,0.47,7.24,0.05,4.02,1.87,0.56,1.4,2.57,0.14,0.33,0.37,0.23,50.1,49.9,31.93,16.92,15.94,2.11,29.77,3.33,12.05,91.78,4.44,40.22,24.29,0.35,0.83,13.03,47.22,39.75,2026-04
NJ,2.69,12.52,0.85,13.92,6.33,3.37,0.01,0.46,2.05,2.28,1.33,1.37,2.97,13.43,1.97,5.48,17.32,0.23,0.71,0.56,2.08,1.72,0.3,7.41,0.16,4.38,2.11,0.73,2.34,2.63,0.36,0.26,0.72,0.16,50.81,49.19,32.79,15.22,16.84,2.39,29.33,3.42,11.87,91.03,4.3,38.73,25.03,2.73,0.98,12.36,45.31,42.33,2026-04
NM,2.71,12.44,0.91,12.75,6.69,2.57,0.06,0.34,1.83,2.8,1.49,2.17,2.34,14.75,1.72,5.09,18.24,0.46,0.86,0.46,3.03,1.72,0.34,7.38,0.06,3.43,1.03,1.66,1.49,2.97,0.4,0.23,0.69,0.06,49.58,50.42,29.6,19.05,15.83,3.5,27.88,4.13,11.92,90.57,4.33,43.27,25.93,0.28,0.47,11.54,48.29,40.17,2026-04
NV,2.71,12.41,1.18,12.92,6.49,3.58,0.01,0.59,1.96,2.85,1.87,2.05,2.39,13.32,1.36,5.12,16.97,0.32,0.87,0.71,2.76,1.34,0.52,8.17,0.18,4.82,1.25,0.69,1.17,3.08,0.35,0.32,0.59,0.19,47.87,52.13,32.23,18.38,16.85,2.92,26.77,2.85,11.79,89.8,4.59,43.15,25.29,1.09,1.12,9.18,46.02,44.8,2026-04
NY,2.67,12.48,0.89,14.73,6.19,2.9,0.02,0.46,1.87,2.02,1.08,1.35,2.81,13.26,1.84,6.37,17.91,0.28,0.86,0.55,2.05,1.67,0.31,7.44,0.19,4.15,1.98,0.85,2.09,2.39,0.29,0.37,0.67,0.16,53.29,46.71,30.84,14.7,17.9,2.5,30.22,3.83,11.86,92.4,4.03,39.35,24.99,9.02,1.54,12.43,46.57,41.0,2026-04
OH,2.68,12.3,0.84,13.63,5.47,4.02,0.04,0.4,1.59,2.42,1.69,2.02,2.72,13.19,2.19,4.39,18.77,0.45,0.89,0.72,2.08,2.06,0.3,7.44,0.15,3.88,1.87,0.91,1.44,2.95,0.36,0.28,0.67,0.16,48.51,51.49,32.6,17.37,16.61,2.98,26.89,3.56,11.66,91.41,4.15,39.61,24.07,2.07,0.6,14.32,48.04,37.64,2026-04
OK,2.69,12.16,0.79,13.81,5.37,3.5,0.03,0.45,1.58,2.08,1.74,2.66,2.42,14.47,2.18,4.13,18.36,0.5,1.0,0.71,2.32,1.63,0.39,7.55,0.08,4.31,1.24,1.1,1.05,3.05,0.47,0.18,0.63,0.21,49.63,50.37,30.78,17.91,16.46,3.33,28.13,3.39,11.5,91.32,4.32,42.52,27.58,0.61,0.52,12.79,48.82,38.39,2026-04
OR,2.67,12.24,0.52,14.05,6.47,3.01,0.01,0.46,1.64,2.4,1.85,2.41,2.49,13.41,1.45,5.01,19.5,0.49,1.21,0.6,2.18,1.64,0.29,7.18,0.1,3.81,1.23,0.93,1.73,2.56,0.41,0.22,0.6,0.16,51.37,48.63,30.35,16.96,17.87,2.72,28.34,3.76,11.65,92.09,4.04,41.16,26.95,1.27,1.01,9.39,51.5,39.1,2026-04
PA,2.68,12.55,1.06,13.46,6.14,3.26,0.0,0.41,1.82,2.79,1.39,1.76,2.76,13.29,2.3,4.86,18.73,0.48,0.8,0.66,1.95,2.18,0.33,7.09,0.11,3.55,2.07,0.76,1.89,2.78,0.28,0.28,0.63,0.1,51.07,48.93,31.85,15.81,17.77,2.59,28.3,3.68,11.95,91.84,4.06,40.43,24.68,3.26,0.86,17.44,45.38,37.17,2026-04
RI,2.66,12.71,1.52,10.57,6.0,3.09,0.05,0.42,2.22,3.92,1.52,2.22,2.58,14.17,2.54,5.12,16.38,0.55,1.11,0.65,2.08,2.72,0.42,6.65,0.28,3.92,1.8,0.6,2.12,3.41,0.32,0.42,0.46,0.18,50.05,49.95,31.55,17.05,14.73,2.7,30.62,3.35,12.25,90.96,4.2,40.11,25.24,0.35,1.06,19.43,41.58,38.99,2026-04
SC,2.72,12.51,1.09,12.52,5.96,4.18,0.02,0.5,1.65,2.34,1.67,1.96,2.78,16.15,2.05,5.91,15.3,0.63,0.69,0.75,2.8,1.44,0.29,7.02,0.23,3.74,1.73,0.73,1.38,2.68,0.44,0.25,1.0,0.1,47.78,52.22,34.69,16.17,14.04,2.63,29.45,3.03,11.93,90.27,4.65,41.13,25.62,0.78,0.5,12.53,42.33,45.14,2026-04
SD,2.73,12.52,0.69,10.21,5.71,4.67,0.0,0.17,2.42,2.94,1.9,2.94,3.63,14.19,0.69,4.5,18.17,0.69,0.87,0.17,3.11,2.42,0.0,7.27,0.0,3.29,1.04,1.21,1.38,4.33,0.52,0.17,0.69,0.0,42.73,57.27,35.36,19.93,11.09,3.47,26.0,4.16,11.88,90.31,4.48,39.61,24.22,0.09,0.36,12.8,42.56,44.64,2026-04
TN,2.71,12.34,0.64,13.77,6.04,3.56,0.01,0.43,1.65,2.43,1.32,2.11,2.85,14.94,1.71,5.02,16.51,0.44,0.93,0.68,2.74,1.62,0.37,8.16,0.05,4.47,1.61,0.69,1.34,2.54,0.3,0.23,0.67,0.13,47.2,52.8,34.24,17.2,14.87,2.57,27.91,3.21,11.73,91.94,4.24,38.92,24.5,1.52,0.71,11.3,45.47,43.22,2026-04
TX,2.71,12.4,0.67,13.03,5.69,3.63,0.03,0.37,1.9,2.56,1.51,1.65,2.77,14.13,1.83,5.58,17.43,0.39,0.85,0.73,2.23,1.87,0.39,7.29,0.11,4.39,1.91,0.73,2.24,2.62,0.36,0.27,0.72,0.11,49.1,50.9,32.75,16.82,16.51,2.62,28.16,3.15,11.72,90.82,4.37,39.9,26.02,9.07,0.96,12.4,44.48,43.13,2026-04
UT,2.7,12.3,0.54,13.17,5.3,3.76,0.05,0.4,1.88,2.69,1.61,1.96,2.8,13.78,2.2,4.76,18.4,0.62,0.83,0.59,2.77,1.62,0.35,7.99,0.12,4.27,1.35,0.89,1.16,2.58,0.4,0.18,0.85,0.13,48.49,51.51,32.74,17.5,17.11,2.47,27.17,3.01,11.71,91.96,4.04,39.19,23.77,1.33,1.26,11.29,45.97,42.74,2026-04
VA,2.67,12.58,1.12,13.05,5.84,3.35,0.03,0.39,2.25,2.79,1.46,1.72,2.44,13.88,2.18,5.25,17.74,0.38,0.88,0.67,1.97,2.17,0.32,7.01,0.16,4.13,2.0,0.76,1.98,2.86,0.31,0.28,0.49,0.12,51.71,48.29,30.79,16.24,17.6,2.61,29.3,3.46,12.02,91.71,4.26,40.61,25.14,2.8,1.09,16.11,44.71,39.18,2026-04
VT,2.64,12.79,1.56,13.33,5.93,1.95,0.0,0.97,2.53,2.63,2.14,2.72,3.02,14.3,1.46,5.84,17.12,0.19,0.97,0.39,1.65,2.04,0.1,6.71,0.19,3.6,1.75,0.97,2.24,3.02,0.0,0.19,0.49,0.0,52.59,47.41,32.29,14.19,16.54,1.96,31.7,3.33,12.38,94.46,3.86,41.31,26.46,0.17,0.9,16.03,45.29,38.68,2026-04
WA,2.66,12.32,0.4,15.11,5.75,2.84,0.03,0.38,1.92,2.6,1.55,1.68,2.29,12.99,1.31,5.05,20.09,0.35,1.05,0.69,1.8,1.67,0.24,7.82,0.29,4.0,1.06,0.86,2.09,2.75,0.37,0.26,0.64,0.1,51.81,48.19,30.4,16.4,19.29,2.9,27.25,3.77,11.73,92.95,3.81,39.32,25.36,3.43,1.45,9.43,52.5,38.07,2026-04
WI,2.67,12.39,0.84,14.17,5.3,3.59,0.03,0.4,1.93,2.49,1.65,2.02,2.51,12.34,2.12,5.21,19.57,0.58,1.25,0.52,2.23,2.06,0.43,6.04,0.06,3.9,1.7,0.69,1.8,3.21,0.4,0.31,0.57,0.09,51.57,48.43,29.9,17.24,17.07,2.67,29.67,3.45,11.78,91.98,3.89,41.36,25.58,1.06,0.61,14.98,47.38,37.64,2026-04
WV,2.7,12.41,1.32,14.29,4.1,4.1,0.0,0.53,1.19,2.12,2.78,3.84,2.65,14.29,1.72,3.57,16.93,1.32,0.93,0.4,2.12,1.46,0.26,7.94,0.0,4.1,1.72,0.79,1.32,3.04,0.4,0.13,0.26,0.4,47.18,52.82,31.13,19.74,14.44,3.71,27.42,3.58,11.87,90.34,4.68,43.26,26.72,0.12,0.24,12.7,49.6,37.7,2026-04
WY,2.7,12.78,0.49,12.5,5.15,3.92,0.0,0.74,1.23,4.41,2.45,2.45,2.45,12.01,1.47,3.92,15.93,0.0,0.49,0.98,1.72,0.98,0.25,9.8,0.25,5.15,2.94,1.23,1.96,3.68,0.0,0.74,0.49,0.25,44.1,55.9,33.17,20.79,13.61,3.47,25.5,3.47,12.31,89.24,4.62,43.67,26.89,0.07,0.4,11.74,38.39,49.88,2026-04
AK,2.71,12.16,0.34,13.82,5.73,4.27,0.11,0.45,1.8,1.91,2.36,2.13,2.47,16.74,1.24,5.17,19.33,0.22,1.12,1.01,2.02,0.79,0.22,6.74,0.0,4.16,0.79,0.9,1.01,1.69,0.34,0.45,0.34,0.34,50.17,49.83,31.31,17.45,17.68,2.14,28.94,2.48,11.45,92.36,4.54,44.97,26.6,0.11,0.51,3.48,54.88,41.64,2026-05
AL,2.74,12.03,0.5,15.48,5.5,4.13,0.05,0.26,1.24,2.04,1.81,3.27,2.66,14.41,1.43,4.82,18.01,0.59,0.92,1.18,2.45,1.07,0.26,6.74,0.1,3.85,0.93,0.83,1.75,2.18,0.31,0.19,0.85,0.19,47.59,52.41,32.39,18.61,14.89,2.69,27.95,3.47,11.26,90.86,4.6,42.17,25.28,0.71,0.47,5.62,53.81,40.57,2026-05
AR,2.76,12.26,0.73,14.55,5.96,3.67,0.07,0.62,1.21,2.22,1.94,3.05,3.01,14.66,1.98,4.82,16.32,0.52,0.83,0.76,2.39,1.04,0.31,6.93,0.17,4.99,0.9,1.14,1.77,1.94,0.35,0.14,0.8,0.21,46.4,53.6,32.97,19.25,14.42,2.57,27.9,2.88,11.56,90.93,4.65,42.92,26.29,0.35,0.39,6.31,52.53,41.16,2026-05
AZ,2.72,12.15,0.56,15.03,5.69,3.49,0.04,0.45,1.56,2.36,1.37,1.45,2.56,14.26,1.55,5.84,17.17,0.32,0.91,0.83,3.04,1.33,0.41,6.99,0.09,4.76,1.19,0.88,2.13,2.15,0.35,0.26,0.79,0.19,49.09,50.91,31.43,17.97,15.63,2.97,28.82,3.18,11.44,91.39,4.29,42.37,27.89,2.08,0.95,7.15,49.09,43.76,2026-05
CA,2.7,12.48,0.85,14.85,6.34,2.94,0.02,0.47,1.72,2.07,1.13,1.42,2.71,13.75,1.8,6.35,18.39,0.29,0.83,0.67,2.21,1.67,0.3,6.76,0.14,4.3,1.57,0.88,1.85,2.24,0.26,0.39,0.65,0.16,52.0,48.0,31.43,15.29,17.97,2.64,29.21,3.45,11.87,92.53,4.14,40.25,26.11,19.25,1.62,10.7,47.77,41.52,2026-05
CO,2.73,12.28,0.47,16.15,5.73,2.91,0.04,0.54,1.58,2.15,1.44,1.33,2.85,14.79,1.04,6.2,17.86,0.27,0.88,0.68,2.39,1.23,0.33,7.22,0.14,4.38,1.24,1.08,1.76,2.03,0.3,0.21,0.62,0.15,48.91,51.09,32.74,17.0,15.87,2.65,28.53,3.21,11.66,93.05,4.13,39.59,25.87,2.56,1.41,5.46,50.67,43.88,2026-05
CT,2.7,12.29,1.3,16.28,5.56,3.26,0.01,0.4,1.81,2.19,1.05,1.49,2.67,13.32,1.91,6.05,18.25,0.33,0.67,0.78,2.01,1.37,0.26,6.95,0.17,4.34,1.64,0.77,1.89,2.04,0.23,0.27,0.55,0.19,51.41,48.59,31.59,15.71,16.96,2.66,29.42,3.67,11.62,92.65,4.13,39.23,25.49,1.16,1.07,10.7,50.36,38.93,2026-05
