geo_id,automation,expected,aui,personal_share,prompt_education,coding_share,auto_resid,country,wave
BR-CE,52.46,53.65072125583368,,31.27,11.68,25.71,3.2230499123606506,BR,2026-04
BR-DF,52.17,55.09957455113194,,29.55,12.41,26.69,2.887141182362285,BR,2026-04
BR-ES,51.92,52.26421179302046,,29.85,11.73,27.02,2.7269831999992533,BR,2026-04
BR-GO,52.78,50.658775800711744,,27.67,11.91,24.54,3.637853448726119,BR,2026-04
BR-MA,52.59,56.173324742268036,,31.96,11.43,25.64,3.273118063685928,BR,2026-04
BR-MG,52.85,54.589399491094156,,29.89,11.72,25.37,3.5833067176578055,BR,2026-04
BR-MS,53.24,65.44,,25.04,12.13,27.64,3.6294918602805595,BR,2026-04
BR-MT,53.5,65.44,,26.63,12.07,27.21,3.8894918602805575,BR,2026-04
BR-PA,49.15,58.15399224806201,,31.83,11.38,23.71,-0.22964186517307184,BR,2026-04
BR-PB,51.63,59.76668579626972,,33.81,11.77,29.25,2.1992579213580896,BR,2026-04
BR-PE,50.0,54.60038709677419,,31.08,11.88,25.15,0.7329585616201086,BR,2026-04
BR-PR,51.64,54.47294003331483,,29.33,11.86,26.35,2.3769968813343496,BR,2026-04
BR-RJ,49.85,51.519676668391114,,34.63,11.64,24.01,0.6805747272586586,BR,2026-04
BR-RN,54.36,66.85364372469637,,30.21,11.93,25.34,4.704698789593849,BR,2026-04
BR-RS,51.33,55.36289927831817,,28.65,11.85,27.63,2.0387974088128686,BR,2026-04
BR-SC,51.66,54.8175173370319,,27.74,11.7,25.88,2.3860785182045134,BR,2026-04
BR-SE,51.53,67.7,,31.29,11.85,23.92,1.8478809317393399,BR,2026-04
BR-SP,51.46,50.48769358993786,,32.7,11.68,25.97,2.3232744026953256,BR,2026-04
BR-TO,48.76,50.580000000000005,,35.51,11.25,18.83,-0.37965044143514604,BR,2026-04
CA-AB,47.5,49.33839294971486,,46.47,11.54,22.12,-1.600308568092558,CA,2026-04
CA-BC,46.39,45.722959183673474,,45.83,11.65,20.55,-2.595749024258261,CA,2026-04
CA-MB,47.48,52.64537701974866,,48.08,11.22,23.03,-1.7250944972634201,CA,2026-04
CA-NB,46.99,55.91306803594351,,46.76,11.4,20.8,-2.3186353768454993,CA,2026-04
CA-NS,45.7,53.60544008483563,,47.54,11.46,20.12,-3.53551529706386,CA,2026-04
CA-ON,46.33,47.93792653524322,,43.71,11.72,20.99,-2.7259330369725987,CA,2026-04
CA-QC,45.02,48.64404524600538,,42.63,11.58,22.43,-4.058307292077906,CA,2026-04
CA-SK,46.49,60.387254305977706,,48.27,11.31,21.11,-2.960405568555018,CA,2026-04
CH-AG,46.0,65.44,,40.92,11.78,30.04,-3.6105081397194425,CH,2026-04
CH-BE,48.19,59.02259676284307,,40.86,11.9,25.0,-1.2171646863405812,CH,2026-04
CH-BS,41.65,50.58,,42.47,12.0,18.12,-7.4896504414351455,CH,2026-04
CH-GE,44.93,53.63687348912168,,44.0,11.68,21.83,-4.306511303819676,CH,2026-04
CH-LU,47.55,56.39232911392405,,40.35,11.95,24.57,-1.7738213639286258,CH,2026-04
CH-SG,42.46,55.64808236808237,,40.29,11.94,22.88,-6.840238974312022,CH,2026-04
CH-TI,46.72,50.58,,41.61,11.87,26.53,-2.419650441435145,CH,2026-04
CH-VD,44.93,55.45761551155115,,41.14,12.0,24.23,-4.3642037935808204,CH,2026-04
CH-ZH,45.34,50.0945064724919,,45.16,11.75,21.62,-3.784266971388412,CH,2026-04
CI-AB,52.69,52.46396855110445,,27.16,11.4,25.44,3.490653657110414,CI,2026-04
CL-BI,47.07,58.46489795918367,,31.3,11.87,27.61,-2.3194933017492616,CL,2026-04
CL-RM,49.01,49.14379909216499,,28.79,12.28,25.69,-0.08414261816885471,CL,2026-04
CL-VS,49.32,56.400677009873064,,29.88,12.44,24.75,-0.004085877459715448,CL,2026-04
CM-CE,54.36,52.20072453371593,,28.2,11.54,25.84,5.168994873268872,CM,2026-04
CM-LT,56.7,47.151849126034946,,30.37,11.38,25.25,7.668974809566642,CM,2026-04
CO-ANT,51.19,54.637325503355704,,26.31,11.94,25.85,1.9217881219766824,CO,2026-04
CO-ATL,51.58,50.28812037037036,,24.32,11.77,27.24,2.449598129936561,CO,2026-04
CO-BOL,50.69,57.917142857142856,,26.68,11.91,24.18,1.3178630042110626,CO,2026-04
CO-CUN,50.27,67.7,,20.97,12.1,28.98,0.5878809317393419,CO,2026-04
CO-DC,50.94,50.13956127360237,,25.65,12.12,24.22,1.8143054108493004,CO,2026-04
CO-RIS,53.31,61.78269550748752,,26.1,11.76,29.24,3.8153781304871046,CO,2026-04
CO-SAN,50.0,60.213540540540535,,22.35,12.05,28.32,0.555098769517258,CO,2026-04
CO-VAC,51.18,53.890362400906,,22.89,11.88,25.57,1.93545658275211,CO,2026-04
CR-SJ,49.47,52.69311845730028,,31.32,11.74,26.55,0.2633927555361595,CR,2026-04
CZ-10,47.95,53.01985843373493,,43.5,11.86,26.44,-1.266960409554116,CZ,2026-04
CZ-64,46.37,50.58,,32.35,12.39,30.88,-2.7696504414351466,CZ,2026-04
CZ-80,47.57,53.27390804597701,,46.36,11.43,25.31,-1.655010289478092,CZ,2026-04
DE-BB,47.18,55.66213572854291,,44.54,11.9,24.88,-2.1206842726269386,DE,2026-04
DE-BE,45.71,46.88766228748069,,47.78,11.47,21.38,-3.3126540998062595,DE,2026-04
DE-BW,45.74,48.79135812449476,,45.57,11.74,24.98,-3.342975085004767,DE,2026-04
DE-BY,46.26,47.93700020052136,,44.91,11.83,24.03,-2.795903684897567,DE,2026-04
DE-HB,43.09,59.151428571428575,,50.66,11.3,22.64,-6.321246883437233,DE,2026-04
DE-HE,45.77,50.13240816326532,,45.88,11.69,22.89,-3.355467933897067,DE,2026-04
DE-HH,47.75,50.109029367844705,,41.92,11.94,22.18,-1.3747271475040392,DE,2026-04
DE-MV,49.56,61.984839609483956,,50.74,11.44,26.43,0.0589729416184781,DE,2026-04
DE-NI,44.62,54.84129467296022,,45.89,11.66,24.51,-4.6546748964432965,DE,2026-04
DE-NW,46.86,51.227704815509696,,46.91,11.56,24.08,-2.300173779160481,DE,2026-04
DE-RP,44.77,51.78951371571072,,45.25,11.68,24.13,-4.407975397304774,DE,2026-04
DE-SH,46.47,46.68764079147641,,46.04,11.56,25.23,-2.546316168365081,DE,2026-04
DE-SL,53.13,58.16771226415094,,43.33,12.05,29.96,3.74992339894564,DE,2026-04
DE-SN,46.2,52.45586925627666,,43.3,12.03,26.83,-2.999089706596152,DE,2026-04
DE-ST,44.57,66.90541073384448,,47.11,11.47,25.89,-5.086941512880884,DE,2026-04
DK-82,45.81,60.78875000000001,,35.84,12.14,28.95,-3.653127462118846,DK,2026-04
DK-83,48.72,65.44,,37.52,11.98,28.21,-0.8905081397194436,DK,2026-04
DK-84,44.06,51.17067221510883,,40.01,12.16,23.8,-5.0983666298366614,DK,2026-04
DK-85,48.46,50.58,,40.28,11.97,23.65,-0.6796504414351432,DK,2026-04
DO-35,57.72,67.7,,37.7,10.75,29.63,8.037880931739338,DO,2026-04
DO-40,53.67,55.96631552917903,,32.15,11.23,26.73,4.359677409688537,DO,2026-04
DZ-09,48.74,57.35232057416268,,35.65,11.1,27.13,-0.6142398948398267,DZ,2026-04
DZ-16,49.53,50.02288803627486,,28.77,11.57,28.21,0.4080023483983908,DZ,2026-04
DZ-19,52.41,55.3304527162978,,30.48,11.57,29.82,3.1198255187395247,DZ,2026-04
DZ-28,53.23,65.44,,29.35,11.61,28.82,3.6194918602805544,DZ,2026-04
DZ-31,51.16,50.806598557692304,,33.31,11.19,25.88,2.0131694996611174,DZ,2026-04
EC-P,53.79,53.94062949640287,,24.76,11.86,25.21,4.543863806918651,EC,2026-04
EG-ALX,51.4,63.745173444976075,,30.86,11.53,31.85,1.843194560865328,EG,2026-04
EG-C,50.12,51.7111417676088,,30.77,11.6,30.69,0.9445079159585603,EG,2026-04
EG-GZ,52.3,69.47722112211221,,28.56,11.61,33.34,2.5615674561740605,EG,2026-04
ES-AN,50.64,50.216743262411356,,40.94,11.4,24.22,1.5118598029354686,ES,2026-04
ES-AR,50.99,57.89240287769785,,38.86,11.52,24.72,1.6186469214235188,ES,2026-04
ES-AS,50.22,66.99967901234568,,42.34,11.7,23.6,0.5600714787317429,ES,2026-04
ES-CL,51.62,51.7158215179316,,40.58,11.63,22.48,2.444359632212567,ES,2026-04
ES-CM,52.79,59.5441935483871,,36.7,11.79,26.96,3.3663078666961823,ES,2026-04
ES-CN,48.83,53.4136875,,40.93,11.53,24.65,-0.3994393764221513,ES,2026-04
ES-CT,48.28,48.99589838909542,,37.22,11.8,25.51,-0.8094561992844689,ES,2026-04
ES-GA,49.18,54.70676616915423,,44.16,11.4,25.19,-0.09041219242877929,ES,2026-04
ES-IB,50.0,51.039802784222736,,37.01,11.53,24.22,0.8457801318728073,ES,2026-04
ES-MC,51.77,61.138761061946894,,35.31,11.79,27.93,2.2957819993211075,ES,2026-04
ES-MD,48.84,49.24661848611639,,39.0,11.84,24.26,-0.2574005793515539,ES,2026-04
ES-NC,50.0,50.58,,37.73,11.67,25.49,0.860349558564856,ES,2026-04
ES-PV,47.57,59.92274206672093,,38.24,11.97,24.66,-1.8656869168860197,ES,2026-04
ES-VC,49.01,52.770231394621625,,40.09,11.53,23.92,-0.19905066439486774,ES,2026-04
FI-11,46.56,57.22985,,45.61,11.97,25.47,-2.7903592614173647,FI,2026-04
FI-18,45.31,51.8343109831345,,45.48,11.97,24.92,-3.8693948547898813,FI,2026-04
FI-19,50.0,50.58,,43.41,12.1,25.41,0.860349558564856,FI,2026-04
FR-ARA,46.27,46.69293569254185,,44.84,11.08,21.38,-2.7464839439322617,FR,2026-04
FR-BFC,47.62,52.89635521235521,,46.31,11.01,24.11,-1.593047055412157,FR,2026-04
FR-BRE,48.19,56.89613664091093,,45.55,11.13,22.12,-1.1497851359700348,FR,2026-04
FR-CVL,46.65,56.50333333333333,,46.68,11.12,23.67,-2.677338671549812,FR,2026-04
FR-GES,45.75,49.6447898599066,,46.16,11.05,21.29,-3.3600171376682155,FR,2026-04
FR-HDF,46.7,50.642151664611575,,44.97,11.05,22.67,-2.441619794715322,FR,2026-04
FR-IDF,45.05,47.87978101196953,,43.91,11.32,20.79,-4.004090623294658,FR,2026-04
FR-NAQ,48.17,51.08162877774806,,43.94,11.17,22.7,-0.9855451770800698,FR,2026-04
FR-NOR,46.52,51.601262833675555,,48.31,10.8,20.41,-2.652010432498919,FR,2026-04
FR-OCC,46.08,50.22491223332433,,46.91,10.98,22.61,-3.0483990411319226,FR,2026-04
FR-PAC,47.0,48.93134265036186,,45.31,11.09,20.77,-2.0874106699068733,FR,2026-04
FR-PDL,46.33,53.157015170151695,,45.75,11.02,22.42,-2.8913063924083175,FR,2026-04
GB-ENG,45.14,47.720289490245435,,41.45,12.04,20.75,-3.909036934814516,GB,2026-04
GB-NIR,42.77,57.00140271493212,,36.37,12.16,21.12,-6.573120623272921,GB,2026-04
GB-SCT,41.72,44.531816894761675,,39.36,12.4,20.24,-7.228006190039821,GB,2026-04
GB-WLS,45.61,53.414248046875,,43.33,12.12,20.97,-3.6194571380514518,GB,2026-04
GE-TB,48.7,50.46618798955613,,43.05,11.04,25.79,-0.436044165440876,GE,2026-04
GH-AA,55.29,45.23624926513816,,26.81,11.63,22.39,6.319672988660557,GH,2026-04
GH-AH,54.16,56.23158050221566,,24.55,11.71,25.58,4.841272157021002,GH,2026-04
GR-B,49.08,59.1122279792746,,39.77,11.95,29.37,-0.3300047636126777,GR,2026-04
GR-I,47.8,53.13315053367684,,39.63,11.96,26.6,-1.420550211533424,GR,2026-04
GT-01,52.12,51.63434494195688,,26.83,11.53,27.21,2.946941319495707,GT,2026-04
HR-21,49.52,57.635219084712766,,39.72,11.71,26.74,0.15679611178698138,HR,2026-04
HU-BU,48.97,50.64297428432799,,44.41,11.77,24.47,-0.17164586045060304,HU,2026-04
ID-JW,47.68,48.64963931217671,,25.82,12.33,23.75,-1.3984845470658982,ID,2026-04
ID-KA,49.87,51.86438095238094,,29.15,11.8,21.6,0.689652340599963,ID,2026-04
ID-NU,49.6,47.14688823031328,,30.44,11.59,20.89,0.5691320017564792,ID,2026-04
ID-SL,51.82,50.27089666951324,,19.24,12.26,17.43,2.6901438844548338,ID,2026-04
ID-SM,51.57,50.43392783268214,,23.52,12.08,21.74,2.4349780380054185,ID,2026-04
IE-L,46.85,46.42205048139474,,40.6,11.9,20.69,-2.1579006069860966,IE,2026-04
IE-M,43.82,58.746436781609205,,34.5,12.32,19.34,-5.578414211702487,IE,2026-04
IL-D,53.96,57.825567375886514,,37.63,12.48,31.21,4.590764687947512,IL,2026-04
IL-HA,52.75,63.47711496746205,,40.04,12.06,33.03,3.2016883292184843,IL,2026-04
IL-JM,53.7,56.06821851078636,,36.16,12.19,30.97,4.386448486177905,IL,2026-04
IL-M,53.15,58.86830870279146,,38.78,11.92,32.08,3.747724123943989,IL,2026-04
IL-TA,52.54,56.81830990629183,,38.67,11.97,30.53,3.202680901521738,IL,2026-04
IN-AP,55.31,49.4422687704026,,34.06,11.47,28.12,6.206399996521412,IN,2026-04
IN-AS,52.42,51.78342356687899,,43.45,10.72,21.96,3.2422175766831813,IN,2026-04
IN-BR,52.77,48.68468849332486,,43.86,10.21,24.12,3.6904048757630292,IN,2026-04
IN-CG,51.4,47.95160071942446,,36.39,10.92,22.93,2.343633679387459,IN,2026-04
IN-CH,53.94,52.17704728950404,,35.57,11.17,24.43,4.749745116385377,IN,2026-04
IN-DL,51.58,48.364316905801616,,31.65,11.71,24.81,2.510556250480178,IN,2026-04
IN-GJ,56.11,51.15607608895424,,28.49,11.5,30.49,6.952095866688573,IN,2026-04
IN-HP,51.66,46.355030737704915,,37.73,11.35,24.58,2.6542229974724023,IN,2026-04
IN-HR,51.2,48.7783296362023,,28.43,11.77,26.83,2.117437738952802,IN,2026-04
IN-JH,52.52,46.09158795345654,,41.58,10.68,23.23,3.5225705118075936,IN,2026-04
IN-JK,50.25,48.91754521963824,,41.95,10.13,19.98,1.1630265189540125,IN,2026-04
IN-KA,52.21,48.889253708040584,,32.61,11.99,27.89,3.1239229709077065,IN,2026-04
IN-KL,51.27,49.85027674514663,,34.43,11.46,28.2,2.1534717531923704,IN,2026-04
IN-MH,53.23,49.73533112582781,,32.48,11.72,26.65,4.117113949002615,IN,2026-04
IN-MP,54.01,47.091244725738406,,35.77,10.98,26.37,4.980895135840498,IN,2026-04
IN-OD,53.59,47.300521327014216,,36.33,11.2,24.53,4.554263944805406,IN,2026-04
IN-PB,54.72,48.98129440993789,,35.18,11.14,26.35,5.631006546072989,IN,2026-04
IN-RJ,52.29,49.13238819123155,,35.27,11.04,24.52,3.1962189505087224,IN,2026-04
IN-TN,54.62,49.67752476804529,,30.64,11.72,30.67,5.508945615797479,IN,2026-04
IN-TS,53.72,48.921566612583376,,32.69,11.75,28.26,4.632899096085502,IN,2026-04
IN-UK,51.91,55.79077179344808,,34.02,11.68,26.71,2.6052397326598964,IN,2026-04
IN-UP,52.33,47.54051659254191,,36.49,11.06,25.25,3.286659394447028,IN,2026-04
IN-WB,53.48,49.665367114788,,38.01,11.44,27.18,4.36933084625705,IN,2026-04
IQ-BG,49.02,46.5466628242075,,41.69,10.28,23.27,0.008150894971194589,IQ,2026-04
IQ-KR,49.03,49.57273387829246,,40.9,9.44,21.35,-0.0777339537078916,IQ,2026-04
IT-21,47.6,53.043321839080456,,38.98,11.99,24.27,-1.6177038769185117,IT,2026-04
IT-25,46.36,47.79763020329138,,39.78,11.95,23.67,-2.6914875721044567,IT,2026-04
IT-34,48.92,53.934417475728154,,39.62,12.0,23.24,-0.32593935743150837,IT,2026-04
IT-42,46.57,55.747531531531536,,44.6,11.62,23.31,-2.7333901455231953,IT,2026-04
IT-45,48.18,49.341693617021285,,40.19,11.92,22.97,-0.920413153867166,IT,2026-04
IT-52,47.27,54.27790862944162,,38.93,12.22,24.46,-1.9868233045390795,IT,2026-04
IT-57,46.73,50.58,,38.94,11.92,22.84,-2.409650441435147,IT,2026-04
IT-62,46.6,50.37324813117918,,42.96,11.7,22.57,-2.533099249707753,IT,2026-04
IT-72,48.95,56.479067245119296,,38.55,11.94,23.34,-0.37656977017411464,IT,2026-04
IT-75,45.09,53.89704830053668,,32.99,12.25,24.85,-4.154755268345539,IT,2026-04
IT-82,47.94,50.679437500000006,,37.34,12.21,23.31,-1.2028012430753279,IT,2026-04
JO-AM,47.1,50.522536475869806,,32.45,11.29,25.59,-2.0378296377536316,JO,2026-04
JO-AZ,46.6,67.7,,35.28,11.15,25.54,-3.08211906826066,JO,2026-04
JP-01,48.6,52.168399826539456,,48.86,12.03,22.19,-0.589980877927708,JP,2026-04
JP-04,42.66,52.4941594022416,,47.07,12.44,22.13,-6.540302977793743,JP,2026-04
JP-08,52.05,58.60391517128874,,41.31,12.7,27.24,2.6561017638958475,JP,2026-04
JP-09,46.51,60.159466119096514,,45.35,12.19,23.51,-2.9331878147615384,JP,2026-04
JP-10,50.0,66.90408695652175,,43.51,12.52,24.79,0.3431004326603784,JP,2026-04
JP-11,47.12,55.03576184763048,,48.64,12.35,24.52,-2.1608368322614098,JP,2026-04
JP-12,48.84,52.0635905389686,,46.41,12.55,24.88,-0.3466598644751855,JP,2026-04
JP-13,48.43,51.88225098480584,,43.66,12.58,24.12,-0.7509138937429611,JP,2026-04
JP-14,48.89,52.13423299366565,,48.89,12.38,23.52,-0.2988982590660214,JP,2026-04
JP-15,49.08,67.7,,45.42,12.16,20.0,-0.602119068260663,JP,2026-04
JP-20,48.95,50.58,,44.59,11.8,23.5,-0.1896504414351412,JP,2026-04
JP-21,51.15,60.69917973462002,,48.07,11.92,25.42,1.6897106838428968,JP,2026-04
JP-22,47.39,47.459472817133445,,48.76,12.01,24.79,-1.6507726320974498,JP,2026-04
JP-23,47.73,48.837078651685395,,49.81,12.06,22.81,-1.354423797131112,JP,2026-04
JP-24,53.02,50.58,,51.15,12.04,21.56,3.880349558564859,JP,2026-04
JP-26,45.67,48.48249030256012,,44.28,12.65,20.72,-3.403188221498027,JP,2026-04
JP-27,48.42,51.48437029847125,,48.44,12.01,22.32,-0.748306546222139,JP,2026-04
JP-28,48.06,47.50131718842292,,46.23,12.32,23.1,-0.9820985233727839,JP,2026-04
JP-29,45.2,56.520708748615725,,50.61,12.03,20.08,-4.127889233329526,JP,2026-04
JP-33,47.73,57.10437745740498,,43.43,12.31,21.75,-1.6163835068679617,JP,2026-04
JP-34,44.44,58.525244063324536,,47.44,12.1,21.73,-4.951405443586154,JP,2026-04
JP-40,47.54,49.07866767219708,,46.11,12.11,22.61,-1.5520788476108436,JP,2026-04
JP-43,45.6,50.58,,46.07,12.13,22.29,-3.5396504414351426,JP,2026-04
KE-30,56.36,50.56019586206897,,28.54,11.82,25.68,7.220977077461406,KE,2026-04
KR-11,43.3,49.247274184927846,,35.27,13.11,22.69,-5.7974213559890515,KR,2026-04
KR-26,42.94,54.01242168075585,,37.34,12.8,20.43,-6.3084110182952955,KR,2026-04
KR-27,43.73,53.10698172323761,,37.26,12.87,20.78,-5.489721020022635,KR,2026-04
KR-28,45.17,48.16902203515721,,29.77,13.23,23.06,-3.8932555871188512,KR,2026-04
KR-29,45.6,52.02730129390018,,32.78,13.01,23.7,-3.5855099943267774,KR,2026-04
KR-30,43.22,51.718299492385775,,31.18,13.5,25.15,-5.955718885509363,KR,2026-04
KR-31,45.96,50.58,,40.44,12.34,25.15,-3.179650441435143,KR,2026-04
KR-41,44.8,48.135164386359,,34.71,13.07,23.55,-4.262182765141574,KR,2026-04
KR-42,45.15,60.26894639556377,,35.81,12.78,20.11,-4.296656834343295,KR,2026-04
KR-43,45.71,59.65159958720331,,35.06,12.97,22.92,-3.7170954280695483,KR,2026-04
KR-44,40.47,54.930290360046456,,37.96,12.62,20.45,-8.80749483617268,KR,2026-04
KR-45,44.85,67.7,,38.15,12.82,20.79,-4.83211906826066,KR,2026-04
KR-46,45.66,50.58,,39.8,12.48,18.8,-3.4796504414351475,KR,2026-04
KR-47,42.15,54.56169856459331,,31.68,13.34,22.05,-7.115815543816453,KR,2026-04
KR-48,45.0,51.50921963824289,,40.31,12.28,21.56,-4.169093928653417,KR,2026-04
KR-49,46.88,50.58,,38.68,12.53,18.75,-2.2596504414351415,KR,2026-04
KR-50,41.33,50.64999999999999,,27.77,13.78,26.72,-7.811868479044826,KR,2026-04
KZ-71,47.73,61.093229240596166,,34.2,11.5,24.66,-1.7427752679332826,KZ,2026-04
KZ-75,50.21,53.10827280064568,,34.27,11.35,25.75,0.9902380705738238,KZ,2026-04
LK-1,54.12,55.45831909701038,,27.32,11.69,31.13,4.82577391243332,LK,2026-04
LT-KU,48.98,57.22985,,45.0,11.48,28.63,-0.3703592614173701,LT,2026-04
LT-VL,51.77,57.645021511985256,,43.2,11.28,25.28,2.406485509610455,LT,2026-04
MA-01,50.89,52.48002349256069,,32.78,10.98,28.42,1.690144936196539,MA,2026-04
MA-02,47.14,22.53,,27.29,11.4,29.41,-1.1108510849832882,MA,2026-04
MA-03,49.04,49.59874700718276,,28.7,11.42,25.38,-0.06855821225395431,MA,2026-04
MA-04,50.9,57.28117546848383,,28.18,11.59,26.84,1.5480144268764633,MA,2026-04
MA-06,49.98,52.42646809712027,,28.49,11.58,27.32,0.7818419059292268,MA,2026-04
MA-07,51.71,50.791173425366686,,30.04,11.21,28.69,2.5636582642844417,MA,2026-04
MA-09,49.27,53.15766803840877,,33.72,10.94,30.37,0.048672920643852535,MA,2026-04
MX-BCN,50.39,55.60424481737413,,40.4,10.98,28.11,1.0911500733477908,MX,2026-04
MX-CHH,50.41,61.88141858141858,,36.56,11.22,26.19,0.9122499663310606,MX,2026-04
MX-CMX,50.87,48.86481190907261,,33.31,11.69,24.52,1.784697439898551,MX,2026-04
MX-COA,52.83,50.58,,34.39,11.0,23.33,3.6903495585648542,MX,2026-04
MX-GUA,53.54,57.15004629629629,,34.64,10.95,26.43,4.19216941881416,MX,2026-04
MX-JAL,50.67,49.318223425196855,,34.21,11.43,25.15,1.5703305285353082,MX,2026-04
MX-MEX,51.71,58.33198060941828,,33.25,11.09,26.11,2.3247183508330167,MX,2026-04
MX-NLE,49.82,50.961632345554996,,33.46,11.42,25.28,0.6682570600575346,MX,2026-04
MX-PUE,51.39,58.10493220338982,,31.02,11.45,24.59,2.0119126637442974,MX,2026-04
MX-QUE,49.38,56.87865441176471,,32.19,11.62,27.09,0.040768810340651385,MX,2026-04
MX-ROO,51.98,60.8837397157816,,35.94,10.9,24.25,2.5138626698506243,MX,2026-04
MX-SIN,48.76,67.7,,35.98,11.17,26.73,-0.9221190682606633,MX,2026-04
MX-SON,54.18,57.7914705882353,,40.84,10.98,30.55,4.811845087338654,MX,2026-04
MX-TAM,55.97,66.83904761904763,,39.71,10.59,28.4,6.31516128546933,MX,2026-04
MX-VER,48.0,52.81122866894198,,32.07,11.31,23.92,-1.2103497143425415,MX,2026-04
MX-YUC,47.44,61.175730337078654,,31.54,11.37,22.11,-2.0353894184309667,MX,2026-04
MY-01,48.61,57.29096774193549,,36.32,11.63,25.35,-0.7422958535635331,MY,2026-04
MY-07,47.07,59.006869409660105,,35.59,12.17,28.1,-2.336666345471137,MY,2026-04
MY-10,47.97,51.481155764153726,,31.63,11.94,25.83,-1.1982046896790877,MY,2026-04
MY-13,46.39,60.239761589403976,,43.45,10.86,19.31,-3.0557320772333796,MY,2026-04
MY-14,48.62,56.08561192136969,,32.0,11.98,27.33,-0.6941026458054509,MY,2026-04
NG-FC,51.0,49.45099510603588,,34.17,10.96,19.24,1.8961234916552812,NG,2026-04
NG-LA,50.99,45.67750046015094,,32.19,10.93,21.29,2.005691392291183,NG,2026-04
NG-OY,52.35,46.315,,31.31,10.67,21.57,3.3454914214977336,NG,2026-04
NG-RI,50.72,47.87709677419355,,35.96,10.61,20.93,1.665994430138774,NG,2026-04
NL-FL,45.23,62.97122480620155,,40.0,11.9,27.43,-4.302281907866593,NL,2026-04
NL-GE,47.61,58.97719848566792,,42.87,11.47,24.28,-1.7957261851093023,NL,2026-04
NL-GR,47.85,52.8713691507799,,44.64,11.6,25.74,-1.362255340779413,NL,2026-04
NL-LI,45.05,61.01397271952259,,39.54,12.01,24.93,-4.420263925868227,NL,2026-04
NL-NB,48.26,54.746728553137004,,41.63,11.66,25.58,-1.0116784505808738,NL,2026-04
NL-NH,47.12,50.65147821438119,,43.29,11.68,23.67,-2.0219153181175784,NL,2026-04
