geo_id,automation,aui,expected,auto_resid,aui_resid,wave,gdp_pwa,coding_share,personal_share,lang_group,agency_ai_alone,hof_pdi,hof_idv,hof_uai,hof_pdi_regional,hof_idv_regional,hof_uai_regional,globe_pdi_practices,globe_participative,hof_pdi_extended,log_gdp
BFA,62.69230769230769,0.0800069478168959,67.84642952813795,6.481879588602851,-0.5842533983930676,2025-08,1832.887591889975,13.553113553113556,23.837209302325583,french,,,,,,,,,,,7.513647921294773
BGD,57.91109729561703,0.1118623113750507,59.3085790025165,5.202402807391849,-1.1740815845414354,2025-08,3967.2406267898255,39.089813140446054,31.40013726835964,english,0.0436941410129096,80.0,20.0,60.0,,,,,,80.0,8.285826075793446
BGR,51.385224274406326,1.4596011913060525,63.02882980250017,-2.8493024177469835,0.4445473415659173,2025-08,27428.09326705219,26.31578947368421,40.750853242320815,english,,70.0,30.0,85.0,,,,,,70.0,10.219323068830594
BIH,51.42045454545454,0.6737524860668648,67.34293163689325,-4.583467777222197,-0.0271700569524021,2025-08,14058.115992760766,11.11111111111111,32.035928143712574,english,,,,,,,,,,,9.550955158716235
BOL,53.761283851554666,0.4839902319857235,61.47948941591915,0.1622071824756474,-0.6438788314130341,2025-08,6038.784004183883,19.36758893280632,20.781758957654723,spanish,,,,,,,,4.509756097560977,5.37,,8.705957946849887
BRA,63.94698338927619,0.9260182311201804,57.29862897812377,12.062654418429034,-0.5062801672729386,2025-08,14782.600419414845,28.991336633663373,33.02416579109453,portuguese,0.0215239980207817,69.0,38.0,76.0,,,,5.326086956521742,6.0408745247148286,69.0,9.601206120799924
CAN,46.60019040938017,2.9136194486582068,50.42971625282783,-2.4669069269023822,0.9811611993902722,2025-08,83397.40614599641,29.94333724110981,41.78007263816566,english,0.0159739201303993,39.0,80.0,48.0,,,,,,39.0,11.331372486496232
CHE,46.90223792697291,2.8129771076417764,55.441171085431336,-4.2202689994779305,1.245427920693141,2025-08,159447.77850270874,23.382045929018787,41.30690737833594,english,0.0197910940076965,34.0,68.0,58.0,,,,4.89685534591195,5.795171339563863,34.0,11.979471740090968
CHL,50.89507707608155,1.158389348435904,56.718584139791425,-0.7513509731251489,-0.3161450123931062,2025-08,24248.62384782136,26.43985419198056,33.04529981670594,spanish,0.0273348519362186,63.0,23.0,86.0,,,,,,63.0,10.09611514621192
CIV,59.60912052117264,0.1994331515359349,65.6852251436089,4.285093745356654,-0.6221952827406114,2025-08,4825.4978829441125,24.600638977635786,26.117440841367223,french,0.0515759312320916,,,,,,,,,,8.481669196624498
CMR,60.333333333333336,0.2211741123922632,66.92155128102127,4.50223691720435,-0.5104312394474391,2025-08,3250.193069497753,27.641408751334044,24.80544747081712,french,0.081081081081081,,,,,,,,,,8.086469679558626
COL,51.95071868583162,0.8236025489336274,53.56866755876339,1.596204654637056,-0.8802929743444536,2025-08,11313.865939573909,27.239557121288374,23.210044112656934,spanish,0.0216503267973856,67.0,13.0,80.0,,,,5.563888888888888,5.458333333333333,67.0,9.333784326758648
CRI,52.985702270815814,1.3119790443472863,61.19935306568539,-0.4984786324510111,0.1637118537978459,2025-08,26951.561234857145,18.414533443435175,29.54333643988816,english,,35.0,15.0,86.0,,,,4.7368421052631575,5.526086956521739,35.0,10.201796505451693
CYP,46.77137870855148,2.39017701570814,67.69651564846792,-9.377563372378404,1.7150006909876776,2025-08,38404.71104586875,14.991482112436117,37.842778793418645,english,,,,,,,,,,,10.55593541453698
CZE,46.748101683724,1.711132868072996,58.43525303137335,-5.602404885745038,0.3615977452825005,2025-08,49714.93948841886,25.79916047788182,43.21329639889196,english,,57.0,58.0,74.0,,,,3.588749999999999,5.738729508196721,57.0,10.814060760243944
DEU,45.998294554756974,1.8350611876849208,51.233085092986805,-3.398298321974714,-0.0388997629040479,2025-08,88693.9787891109,32.797555264515616,44.73476787262552,english,0.0198517401683628,35.0,67.0,65.0,,,,5.251794871794871,5.719660194174757,35.0,11.392947283119916
DNK,44.11504424778761,2.3071425941225168,59.49185017570635,-8.668817500157267,1.0345435879022868,2025-08,113263.93711245504,22.085889570552148,42.671009771986974,english,0.020631067961165,18.0,74.0,23.0,,,,3.894267515923566,5.701388888888889,18.0,11.637476100784044
DOM,55.99639314697926,0.5788662042274328,62.88241240350119,1.8219184229913807,-0.4468490277980117,2025-08,16637.61618246597,20.33598585322723,28.561872909699005,english,,,,,,,,,,,9.719421445847487
DZA,54.74683544303798,0.2541380965072279,63.23185256775279,0.4290405278513347,-0.7461326514446154,2025-08,8969.58842511948,34.47395301327886,29.59409594095941,english,0.042152466367713,,,,,,,,,,9.101595070512925
ECU,56.32911392405063,0.956858634417044,55.39768734951225,5.224441516878095,-0.6138568205775772,2025-08,9988.291688510177,16.469428007889547,19.061413673232902,spanish,,78.0,8.0,67.0,,,,5.599999999999999,5.510204081632653,78.0,9.209168854868931
EGY,59.126454320045774,0.2811923790687435,60.84668295753119,5.786918344585125,-0.8927544839058273,2025-08,5227.316547705825,47.30105731775181,29.20531005637389,english,0.0292365998917162,,,,80.0,38.0,68.0,4.918303571428571,4.631426202321724,80.0,8.56165333699131
ESP,50.44025157232704,1.2605807317206792,55.20073625678151,-0.5836428615194151,-0.3244757162533798,2025-08,53518.68827011927,33.122701122323875,37.25072741466184,english,0.0159229408295655,57.0,51.0,86.0,,,,5.519189189189189,4.825418994413408,57.0,10.887786185348528
EST,50.43478260869565,3.10575549323648,67.85011259433855,-5.77715607623616,2.4417633294762475,2025-08,49410.33974231546,14.550641940085592,47.68583450210379,english,,40.0,60.0,60.0,,,,,,40.0,10.807914987799064
FIN,44.550898203592816,1.8895174643237136,61.237413758953565,-8.948892999789436,0.7440216629927001,2025-08,86239.00920358354,18.735362997658076,43.108182317408016,english,,33.0,63.0,59.0,,,,4.889090909090907,5.924418604651163,33.0,11.364877897250105
FRA,48.98868865030675,1.9438095632497092,52.34030143192482,-0.8620204775858653,0.1504705656708564,2025-08,75225.64794338809,32.21784776902887,40.17413758855856,french,0.0264462809917355,68.0,71.0,86.0,,,,5.277027027027027,6.142265193370166,68.0,11.22824751486611
GBR,45.493174518201286,2.6652636438018495,48.50992725719863,-2.78653615202888,0.5930159669831898,2025-08,83152.8295627269,26.752676904941215,41.995374743493706,english,0.0191667623091931,35.0,89.0,35.0,,,,5.153086419753086,5.68213572854291,35.0,11.328435513659961
GEO,49.03920061491161,2.191490694350285,64.60490319281288,-5.841740435839213,1.2911986218217844,2025-08,14463.249642754525,23.44569288389513,36.37691745799854,english,,,,,,,,5.221666666666667,4.417643229166666,,9.579366203711222
GHA,60.06528835690968,0.3483687568154062,57.36356220278457,8.154327524228698,-1.0792015291002368,2025-08,3978.246329458356,22.938689217758984,30.744336569579296,english,0.0632411067193675,,,,77.0,20.0,54.0,,,77.0,8.288596380437534
GRC,48.15506772536198,1.28477675431947,61.32872455902635,-5.382173899190292,0.1459297485073565,2025-08,39376.65689246587,21.617915904936016,37.43565746373421,english,,60.0,35.0,112.0,,,,5.403333333333333,5.745726495726496,60.0,10.58092845505126
GTM,51.98915009041591,0.3656013171046337,51.07407551673455,2.6577737663369945,-1.5199379151027796,2025-08,9620.500626667832,13.082437275985663,30.816831683168317,english,,95.0,6.0,101.0,,,,5.602419354838711,5.252252252252252,95.0,9.17165158249987
HND,53.755868544600936,0.2360295771042157,53.00802988739822,3.631295735032616,-1.508688775829591,2025-08,5256.315221358912,11.778290993071591,30.788804071246823,english,,,,,,,,,,,8.56718553198842
HRV,49.54441913439636,1.4189268455426038,68.12206284811664,-6.779057851953965,0.7747367383544552,2025-08,38045.172524694855,17.22222222222222,43.08943089430895,english,,73.0,33.0,80.0,,,,,,73.0,10.546529483353787
HUN,48.717948717948715,0.9456727203268284,64.83044578140236,-6.255496887879055,0.0618035304271022,2025-08,36106.862456746145,23.753280839895012,44.363193174893354,english,,46.0,80.0,82.0,,,,5.558247422680412,5.011839708561021,46.0,10.494238222009805
IDN,54.7158096743241,0.3579440501634318,52.34817018261749,4.861873238957585,-1.434821984367205,2025-08,7231.199089520412,28.813653238765447,19.030907278165504,english,0.0439499816108863,78.0,14.0,48.0,,,,5.1789772727272725,4.467440119760479,78.0,8.886160150574304
IND,58.305568776772965,0.267048037486808,55.58281830809711,7.124966333229203,-1.29018710754593,2025-08,3948.7128605939074,52.14582038420955,27.817374238198532,english,0.0395431834403997,77.0,48.0,40.0,,,,5.466019417475729,5.070540935672514,77.0,8.281144946714395
IRL,46.68304668304668,2.257524240446821,56.130005454779685,-4.721980353050753,0.7401325251722597,2025-08,163661.46945325768,16.177178623013962,39.20879120879121,english,0.0216508795669824,28.0,70.0,35.0,,,,5.150666666666668,5.761217948717948,28.0,12.005555362736272
IRQ,45.25735294117647,0.3940667108563072,47.64309072962976,-2.666831405583345,-1.741299664030104,2025-08,10043.662811380043,13.521126760563378,47.83549783549784,english,0.048582995951417,,,,80.0,38.0,68.0,,,80.0,9.214697148565012
ISR,45.99400973418196,7.00376424055597,51.542587112803346,-3.529523011501297,5.152339678223445,2025-08,90237.43265143564,23.454313332117454,41.631931287103704,english,0.0220095693779904,13.0,54.0,81.0,,,,4.72638888888889,4.8015432098765425,13.0,11.410199616099286
ITA,47.98272933182333,1.4724186837774282,53.24345405997652,-2.2384008883649074,-0.2551572590314901,2025-08,63346.04219526605,28.242314898341547,39.02289702461124,english,0.0243185462319615,50.0,76.0,75.0,,,,5.426877934272303,5.570488721804511,50.0,11.05636770858478
JAM,63.17567567567568,0.5726788336209688,69.81424748904487,6.158162195836212,0.0517051438641325,2025-08,9671.355122194287,5.483870967741936,33.12101910828025,english,,45.0,39.0,13.0,,,,,,45.0,9.176923715360676
JOR,56.82870370370371,0.4572122869157157,68.05569089557434,0.5324486623435121,-0.1918106937144806,2025-08,7135.879551781071,29.67525195968645,31.914893617021285,english,,,,,,,,,,,8.872890795162947
JPN,43.34666898591059,1.8567345999463332,48.95222379074415,-5.1144461999969835,-0.1833072566635623,2025-08,55246.96466016575,27.103543852702437,43.08948295181687,japanese,0.0175195942830797,54.0,46.0,92.0,,,,5.10943396226415,5.3095854922279795,54.0,10.919568679593294
KAZ,50.224215246636774,0.4118212959743227,66.38003387496329,-5.3847819773747005,-0.3592146434840926,2025-08,22317.150362946555,28.373450036469738,38.36116910229645,english,0.0606060606060606,,,,,,,5.312146892655367,5.132231404958676,,10.013110736433498
KEN,57.37041719342603,0.458706878067009,57.83517844701598,5.2660265916157485,-0.9345226730309912,2025-08,3558.849073408154,31.881918819188193,25.736040609137056,english,0.0329218106995884,,,,64.0,27.0,52.0,,,64.0,8.177192477588836
KGZ,58.16733067729084,0.2362953728670812,67.38929654972566,2.1443921428220634,-0.4612511092215122,2025-08,3906.36602991404,17.753623188405797,36.47058823529411,russian,,,,,,,,,,,8.27036281670156
KHM,61.11888111888112,0.2487425380612787,67.59586854284132,5.011218672915064,-0.4337624052272726,2025-08,4189.637022057561,32.87858117326057,36.25218914185639,english,,,,,,,,,,,8.34036937958309
KOR,44.52803981711904,3.725454261874139,51.394917517947775,-4.934927381915415,1.8632771386203328,2025-08,51496.35067757943,30.858015785453617,33.34204337601255,korean,0.0123546511627906,60.0,18.0,85.0,,,,5.606779661016949,5.575107296137339,60.0,10.849266223511568
KWT,58.07453416149069,0.3369833684618052,67.68603199185294,1.9298918715528828,-0.3389563236704838,2025-08,40520.77402630855,14.244186046511626,44.44444444444444,english,,,,,80.0,38.0,68.0,5.1241379310344835,4.994791666666667,80.0,10.609570060507629
LAO,62.880886426592795,0.2885905743125494,67.37788364810537,6.862628805795907,-0.4097869381589794,2025-08,3137.563145458921,13.648293963254591,32.35294117647059,english,,,,,,,,,,,8.051201709280198
LBN,53.8235294117647,0.7237694929087171,67.77799388369353,-2.3588303396155226,0.054526005539631,2025-08,7649.559298285476,34.38395415472779,28.258064516129032,english,,,,,80.0,38.0,68.0,,,80.0,8.942403317093914
LKA,60.09771986970684,1.00780969097685,58.51594424716837,7.714118419743535,-0.3358499012787592,2025-08,6855.768591970304,37.865612648221344,24.576802507836994,english,,,,,,,,,,,8.832845707078214
LTU,45.86173320350536,2.129776532955327,65.65331867785828,-9.449207381197908,1.3058248295108663,2025-08,45109.332193465,21.91387559808613,41.60377358490566,english,,42.0,60.0,65.0,,,,,,42.0,10.716844426335092
LVA,49.37106918238994,2.112291617793881,68.18235358621374,-6.977135585696914,1.4724915804438194,2025-08,37168.53471842537,21.240310077519386,48.18481848184818,english,,44.0,70.0,63.0,,,,,,44.0,10.523217841433432
MAR,57.29764181007011,0.7364220658651062,60.7735023021317,3.988120316620616,-0.4428534462210973,2025-08,6159.655576326082,42.063983488132095,31.56467854376453,english,0.0379048931771192,70.0,46.0,68.0,,,,5.801923076923076,5.390522875816994,70.0,8.725776142030302
MDA,52.916666666666664,1.2359199736766049,68.22669797995405,-3.4497256128731664,0.5993488731681214,2025-08,11853.79921916384,24.94929006085193,32.838283828382835,english,,,,,,,,,,,9.380403704391265
MDG,56.9060773480663,0.1219382063595331,67.70417403249444,0.7539942399299235,-0.5526804731606145,2025-08,950.4549962287342,29.331046312178387,26.77760968229955,french,,,,,,,,,,,6.856940813336473
MEX,53.02139926821155,0.3995778562692801,55.10792616468092,2.035570178609426,-1.1922365581663064,2025-08,21055.23141283793,29.720889664195376,32.853137387605145,spanish,0.0268608414239482,81.0,30.0,82.0,,,,5.223882113821137,4.618032786885246,81.0,9.954904331408958
MKD,56.310679611650485,1.0834015899757727,67.64328197052951,0.1835709136022885,0.4043490552226598,2025-08,14284.258368739234,17.878787878787875,27.728613569321535,english,,,,,,,,,,,9.566913396533058
MNE,47.48858447488584,2.1301752508287004,69.61481236568028,-9.447132225600626,1.5946796934123884,2025-08,20082.201107362056,6.756756756756757,42.63565891472868,english,,,,,,,,,,,9.907589184698672
MOZ,66.04215456674473,0.0950271318168425,50.65117849157179,16.884226199438395,-1.8213053454789625,2025-08,1200.8185090654026,7.947019867549669,32.240437158469945,portuguese,,,,,,,,,,,7.090758694145664
MUS,51.864406779661024,1.3250879343264177,65.97980319962105,-3.580438916329875,0.5249091999453782,2025-08,16566.49364893835,5.128205128205129,32.78145695364238,english,,,,,,,,,,,9.715137479636018
MYS,49.769295302013425,0.7466611773005524,56.34988653355704,-1.7259142645291163,-0.7547198981581223,2025-08,16744.801251132354,31.632862118418352,30.926675663517766,english,0.020358306188925,104.0,26.0,36.0,,,,5.17391304347826,5.089583333333334,104.0,9.725843116010799
NGA,58.29953432477092,0.2018990270958249,56.643839290380015,6.683762299698451,-1.2780778796251422,2025-08,1441.664986299227,34.42742523705325,35.23859465128474,english,0.0408986175115207,,,,77.0,20.0,54.0,5.797836538461537,5.1214859437751015,77.0,7.2735539651244006
NLD,44.7568988173456,2.561266349939384,53.180455640157874,-5.438393086308629,0.8291031774593409,2025-08,105769.21585185928,26.64008232570105,41.46609651802076,english,0.0127511591962905,38.0,80.0,53.0,,,,4.107534246575341,5.588850174216028,38.0,11.569014790584296
NOR,43.8731379144642,2.2597983776357173,59.17276377490244,-8.779853004507459,0.9639650964982168,2025-08,133499.89761071428,21.348314606741575,43.844856661045526,english,0.0235690235690235,31.0,69.0,50.0,,,,,,31.0,11.801855989861206
NPL,56.660231660231666,0.4218270479195148,62.55810596798355,2.618768722238464,-0.6275025558286769,2025-08,2250.486467692543,41.403674046161086,28.169856459330145,english,0.0463917525773195,,,,,,,,,,7.718901679692267
NZL,46.46549315451243,4.04852631687659,54.13837117645899,-4.122680426349618,2.3861137600977225,2025-08,74633.69897073443,20.455168631752127,43.715469613259664,english,,22.0,79.0,49.0,,,,4.8868131868131846,5.61911231884058,22.0,11.22034741302332
OMN,56.63082437275986,0.2967574400701719,65.97980319962105,1.1859786767689613,-0.5034212943108676,2025-08,27874.66708509641,6.0606060606060606,29.75206611570248,english,,,,,,,,,,,10.235473565555544
PAK,64.07820611951838,0.2394096958695171,60.76238575574617,10.773243991924431,-0.9406752674944634,2025-08,2515.0984411018367,48.19562641387483,29.347094458155702,english,0.0351123595505618,55.0,14.0,70.0,,,,,,55.0,7.830067223359015
PAN,54.21511627906976,0.9076556588864464,59.02599018451361,1.6223234174178955,-0.3988649406109006,2025-08,29533.717672235955,12.233285917496444,31.57894736842105,english,,95.0,11.0,86.0,,,,,,95.0,10.29328786157298
PER,52.61774813017991,0.8485933711590928,55.20851926880082,1.5906615539158864,-0.7358963568278859,2025-08,12646.323877661176,22.371541501976285,19.381527193815273,spanish,0.0272314674735249,64.0,16.0,87.0,,,,,,64.0,9.445121849366132
PHL,51.96177627880832,0.4506373532469348,54.536339723642605,1.2103789643619862,-1.1827971254615564,2025-08,5979.632691012824,31.038275406951165,27.297433316557623,english,0.0192107995846313,94.0,32.0,44.0,,,,5.4415525114155265,5.483333333333333,94.0,8.696114422150659
POL,46.23963982400491,1.6075854166559187,53.82327010302571,-4.219297479201096,-0.0777712234446783,2025-08,38209.25361666856,34.39407585309716,40.00442526828189,english,0.0197368421052631,68.0,60.0,93.0,,,,5.101631701631701,5.2768719806763285,68.0,10.550833006533033
PRT,48.75217643644806,2.012603970534846,56.8417967656557,-2.944786321997882,0.5470413365340461,2025-08,46013.61009194968,27.66259585345072,38.31845238095239,english,0.0179968701095461,63.0,27.0,104.0,,,,5.440909090909091,5.256329113924051,63.0,10.736692503273996
PRY,59.248120300751886,0.5773283079736656,72.15634580162157,1.2700132420840973,0.2268944968847515,2025-08,9785.666997682889,10.3397341211226,32.22416812609457,spanish,,,,,,,,,,,9.188674042829755
PSE,55.14950166112956,0.3828694822211485,69.08017685024927,-1.5669384016603516,-0.1915555579771464,2025-08,,27.035830618892508,31.343283582089555,english,,,,,,,,,,,
QAT,53.53319057815846,0.7669330494269564,69.01719190424515,-3.157416694278666,0.1879217606532841,2025-08,93076.97642309398,16.596638655462186,34.18994413407821,english,,,,,,,,4.733168316831683,4.619047619047619,,11.441182133251901
ROU,50.15356265356266,1.040092919159192,59.67116647210275,-2.7038442918543737,-0.2194491717016737,2025-08,31327.812791877608,31.289261142686208,39.06490310673639,english,0.0337186897880539,90.0,30.0,90.0,,,,,,90.0,10.352261569567924
RWA,62.74193548387097,0.2990548253742415,67.67736966418907,6.600845980887897,-0.3775156141100461,2025-08,1702.5314089029812,30.93415007656968,22.633136094674555,english,,,,,,,,,,,7.439871486548342
SAU,55.53914327917282,0.4143273937878727,61.60808563621731,1.8873238610739664,-0.704177936376871,2025-08,41985.798549031635,30.994989262705797,35.267857142857146,english,0.0244372990353697,,,,80.0,38.0,68.0,,,80.0,10.64508671030178
SEN,59.22693266832918,0.294766119812222,65.39761616050835,4.020866501124786,-0.5478045613454176,2025-08,3054.5670941438534,25.845410628019323,25.794155019059723,french,0.0845070422535211,,,,,,,,,,8.024393157520164
SGP,45.306277261520954,4.571735157758412,52.7763093764984,-4.723257165730999,2.810144076809081,2025-08,121453.275988157,26.90232558139535,33.02572157863735,english,0.0154061624649859,74.0,20.0,8.0,,,,4.986363636363638,5.318807339449541,74.0,11.707284908032415
SLV,63.52941176470588,0.399629947052067,63.37981544959199,9.150931013473643,-0.5898668842880299,2025-08,8315.64872508447,16.027088036117384,26.119402985074625,spanish,,66.0,19.0,94.0,,,,5.676923076923076,5.44,66.0,9.025894407234901
SRB,48.73501997336884,1.421558574939597,61.52232048141024,-4.8816235272407695,0.296808255392387,2025-08,21462.94212470453,26.575698505523064,39.468008626887126,english,,86.0,25.0,92.0,,,,,,86.0,9.974083104863308
SVK,51.24434389140271,0.9717083986314544,67.44489421176667,-4.8013975958147554,0.2782102600678869,2025-08,39478.157128320294,22.591362126245848,41.36933461909354,english,,104.0,52.0,51.0,,,,,,104.0,10.583502813843964
SVN,49.913043478260875,1.654879243622467,68.65631414774018,-6.629552562632661,1.0495906425439148,2025-08,53656.97978357421,17.6672384219554,41.90193164933135,english,,71.0,27.0,88.0,,,,5.33320610687023,5.331692913385827,71.0,10.890366838079048
SWE,46.94098538170006,2.198774555619245,56.385376244899014,-4.568780016528329,0.6999776633409771,2025-08,92702.13665967331,27.708609271523184,42.86064769381747,english,0.0197486535008976,31.0,71.0,29.0,,,,4.851471135940409,5.491433891992551,31.0,11.437146800475732
THA,54.0538274503228,0.9351838778279836,54.25114130219478,3.419402071197723,-0.7190173227251108,2025-08,10509.89704549089,28.51307189542483,33.33333333333333,english,0.0156075808249721,64.0,20.0,64.0,,,,5.627027027027025,5.173814898419865,64.0,9.260072667961065
TUN,60.53493449781659,0.8864614890600662,65.02898175542515,5.480060891811114,0.0170486952643168,2025-08,6506.121121775293,50.84835630965006,23.0,english,0.0478260869565217,,,,,,,,,,8.780498723794418
TUR,54.13096996553421,0.6830201869010764,58.64324948032797,1.6951552549798876,-0.6513696753435223,2025-08,22651.310447180294,46.43576705363138,40.695296523517385,english,0.0199769496734537,66.0,37.0,85.0,,,,5.571621621621618,5.377758420441347,66.0,10.027972985625215
TWN,46.641237550328455,2.2949679537585976,53.10219088845061,-3.521954668383053,0.557105933715897,2025-08,48391.047952063214,30.464876033057852,35.08862724802691,english,0.0148482892188508,58.0,17.0,69.0,,,,5.181944444444445,4.528601694915254,58.0,10.787070115929458
TZA,64.82939632545933,0.0416122668080403,67.35758676659594,8.819463314241595,-0.6582431630042623,2025-08,2148.799090380761,30.864197530864196,35.8433734939759,english,,,,,64.0,27.0,52.0,,,64.0,7.672664402453899
UGA,56.44891122278057,0.0858703413470118,67.64822391759395,0.319775623217815,-0.5928223455516252,2025-08,2079.882474647875,27.631578947368425,25.416036308623298,english,,,,,,,,,,,7.640066668525896
UKR,51.83762111593718,0.9231204363626976,58.424497373520374,-0.5084741033275719,-0.427197859608612,2025-08,7490.372998752378,34.46586082979418,32.224893162393165,english,0.0375699440447641,,,,,,,,,,8.921373874837714
URY,57.08556149732619,1.3136128765963584,69.72812451267032,0.1033706927351261,0.7863681426811416,2025-08,36408.30401277872,16.272965879265094,35.714285714285715,spanish,,61.0,36.0,100.0,,,,,,61.0,10.50255215982583
USA,49.07382312471334,3.6243515142461553,48.46432961971896,0.8128139742005658,1.5487836456483677,2025-08,132531.7570859901,26.10597212974185,40.43061765268305,english,0.0180879587018288,40.0,91.0,46.0,,,,4.88244680851064,5.898824517212426,40.0,11.794577571811361
UZB,53.97849462365591,0.0801153601568852,68.45514521615833,-2.481593529801984,-0.5398213558191072,2025-08,5015.875475814878,26.096033402922757,34.26150121065375,english,0.0678466076696165,,,,,,,,,,8.520363256608844
VNM,53.19333397553222,0.5969477865036321,57.533605172167285,1.2126313290098525,-0.8182408213197034,2025-08,6717.646893699442,42.61480787253984,27.567777669808574,english,0.0241518113858539,70.0,20.0,30.0,,,,,,70.0,8.812493207567186
ZAF,53.10633213859021,0.4576247861071426,53.88000582799242,2.624125114894447,-1.2236006424213348,2025-08,9272.848440503294,25.834627329192543,34.126093785057215,english,0.0410958904109589,49.0,65.0,49.0,,,,5.160439560439557,5.538389513108615,49.0,9.134845886495764
ZMB,62.64705882352941,0.1140808763192254,67.95309388976749,6.392883153669487,-0.5424127048523906,2025-08,2182.304943750481,9.749303621169917,27.540106951871657,english,,,,,64.0,27.0,52.0,5.314285714285714,5.125,64.0,7.688136910867753
ZWE,62.42774566473989,0.1535669768365056,66.89890229816241,6.605938554437387,-0.5796875605937244,2025-08,3813.703651493487,20.54054054054054,28.21917808219178,english,,,,,,,,5.666666666666667,5.5,,8.246356082956307
AGO,57.8125,0.0490722948350186,68.32935111849285,8.29021786022814,-0.7238943191364229,2025-11,5796.591076911293,17.22689075630252,34.33962264150943,portuguese,,,,,,,,,,,8.665025278384377
ALB,50.955414012738856,0.6777411725091346,71.46385174498947,0.698510347828531,0.0077513949987404,2025-11,15160.177657549832,25.13513513513514,30.69908814589666,english,,,,,,,,4.62,4.389583333333333,,9.626427377963438
ARE,45.27310924369747,1.6101738888729236,51.17705617234301,-0.2292518386494677,0.2737079229886141,2025-11,60127.05878296327,28.595151112587185,30.808861411643484,english,0.0208894878706199,,,,80.0,38.0,68.0,,,80.0,11.004215248534315
ARG,46.653212243525054,0.7479212737727772,52.64013457855129,0.8079547900367956,-0.5404786032129654,2025-11,20966.423275351695,32.02973497091144,33.90275952693823,spanish,0.0237341772151898,49.0,46.0,86.0,,,,5.640540540540542,5.998366013071895,49.0,9.950677545464252
ARM,46.360153256704976,0.9704925708835268,64.27222056347694,-2.211273933217072,0.0642382280364493,2025-11,12551.43122594346,15.770171149144252,34.8968105065666,english,,,,,,,,,,,9.437589979965491
AUS,39.71159544347139,3.2730127806431897,45.19022013648789,-4.387652625518314,1.7398630335619958,2025-11,102513.1805350331,24.125818297940288,41.712403951701425,english,0.0153721682847896,38.0,90.0,51.0,,,,4.740285204991085,5.6942829457364335,38.0,11.537746659879229
AUT,40.76561450638012,1.8801226088296348,54.61736599775117,-5.54303949214178,0.6566801399807545,2025-11,87151.06570374031,23.538461538461537,39.45981554677207,english,0.0311871227364185,11.0,55.0,70.0,,,,4.953846153846153,5.8920118343195265,11.0,11.375398279258258
AZE,49.44649446494465,0.2935268714116477,70.91166309512808,-0.6809947520321558,-0.3946037990409111,2025-11,10460.39769104414,33.05785123966942,36.29893238434164,english,,,,,,,,,,,9.25535175707247
