geo_id,automation,aui,expected,auto_resid,aui_resid,wave,gdp_pwa,coding_share,personal_share,lang_group,agency_ai_alone,hof_pdi,hof_idv,hof_uai,hof_pdi_regional,hof_idv_regional,hof_uai_regional,globe_pdi_practices,globe_participative,hof_pdi_extended,log_gdp,prompt_edu,task_hours,autonomy,work_share,coursework_share,english_share,internet,tertiary
BFA,62.69230769230769,0.0800069478168959,67.84642952813795,6.481879588602851,-0.5842533983930676,2025-08,1832.887591889975,13.553113553113556,23.837209302325583,french,,,,,,,,,,,7.513647921294773,11.968023300170898,3.5174710750579834,3.680232524871826,35.75581395348838,40.406976744186046,65.95744680851064,28.25270081,10.0419678526515
BGD,57.91109729561703,0.1118623113750507,59.3085790025165,5.202402807391849,-1.1740815845414354,2025-08,3967.2406267898255,39.089813140446054,31.40013726835964,english,0.0436941410129096,80.0,20.0,60.0,,,,,,80.0,8.285826075793446,11.493823051452637,3.3163211345672607,3.5662319660186768,39.67055593685656,28.9293067947838,99.20556107249257,53.42171316,23.7295608009814
BGR,51.385224274406326,1.4596011913060525,63.02882980250017,-2.8493024177469835,0.4445473415659173,2025-08,27428.09326705219,26.31578947368421,40.750853242320815,english,,70.0,30.0,85.0,,,,,,70.0,10.219323068830594,11.404095649719238,2.999180793762207,3.4000000953674316,48.19112627986348,11.0580204778157,98.48484848484847,82.438955,69.5460433959961
BIH,51.42045454545454,0.6737524860668648,67.34293163689325,-4.583467777222197,-0.0271700569524021,2025-08,14058.115992760766,11.11111111111111,32.035928143712574,english,,,,,,,,,,,9.550955158716237,11.89820384979248,2.4630839824676514,3.4670658111572266,55.38922155688623,12.574850299401197,95.78947368421052,86.10091103,45.5027618408203
BOL,53.761283851554666,0.4839902319857235,61.47948941591915,0.1622071824756474,-0.6438788314130341,2025-08,6038.784004183883,19.36758893280632,20.781758957654723,spanish,,,,,,,,4.509756097560977,5.37,,8.705957946849887,11.809895515441896,3.626822710037231,3.5475261211395264,28.33876221498372,50.87947882736157,89.91935483870968,79.70469666,
BRA,63.94698338927619,0.9260182311201804,57.29862897812377,12.062654418429034,-0.5062801672729386,2025-08,14782.600419414845,28.991336633663373,33.02416579109453,portuguese,0.0215239980207817,69.0,38.0,76.0,,,,5.326086956521742,6.0408745247148286,69.0,9.601206120799924,11.507427215576172,3.7718663215637207,3.4004781246185303,55.21901380384768,11.756820405057788,71.16526472043543,84.46347227,69.7317733764648
CAN,46.60019040938017,2.9136194486582068,50.42971625282783,-2.4669069269023822,0.9811611993902722,2025-08,83397.40614599641,29.94333724110981,41.78007263816566,english,0.0159739201303993,39.0,80.0,48.0,,,,,,39.0,11.331372486496232,12.189288139343262,2.7401623725891113,3.322000503540039,38.401960355314394,19.81796700651993,95.76202118989404,94.353302,76.2666931152344
CHE,46.90223792697291,2.8129771076417764,55.441171085431336,-4.2202689994779305,1.245427920693141,2025-08,159447.77850270874,23.382045929018787,41.30690737833594,english,0.0197910940076965,34.0,68.0,58.0,,,,4.89685534591195,5.795171339563863,34.0,11.979471740090968,12.007259368896484,2.503704071044922,3.3352952003479004,46.58555729984302,12.107535321821038,80.31885651456845,97.3443985,73.5430526733398
CHL,50.89507707608155,1.158389348435904,56.718584139791425,-0.7513509731251489,-0.3161450123931062,2025-08,24248.62384782136,26.43985419198056,33.04529981670594,spanish,0.0273348519362186,63.0,23.0,86.0,,,,,,63.0,10.09611514621192,11.96805477142334,3.30997371673584,3.44671368598938,42.89080911233307,24.063891070960985,88.45861807137435,95.590243,110.176902770996
CIV,59.60912052117264,0.1994331515359349,65.6852251436089,4.285093745356654,-0.6221952827406114,2025-08,4825.4978829441125,24.600638977635786,26.117440841367223,french,0.0515759312320916,,,,,,,,,,8.481669196624498,11.669588088989258,4.1024627685546875,3.5872042179107666,37.68624014022787,36.19631901840491,66.189111747851,41.43219902,12.3354902267456
CMR,60.333333333333336,0.2211741123922632,66.92155128102127,4.50223691720435,-0.5104312394474391,2025-08,3250.193069497753,27.641408751334044,24.80544747081712,french,0.081081081081081,,,,,,,,,,8.086469679558626,11.908560752868652,4.238745212554932,3.627431869506836,35.70038910505836,39.494163424124515,78.10810810810811,46.25880051,16.6614294830602
COL,51.95071868583162,0.8236025489336274,53.56866755876339,1.596204654637056,-0.8802929743444536,2025-08,11313.865939573909,27.239557121288374,23.210044112656934,spanish,0.0216503267973856,67.0,13.0,80.0,,,,5.563888888888888,5.458333333333333,67.0,9.333784326758648,11.976360321044922,3.4275341033935547,3.4594502449035645,40.49315688270558,36.296799004637485,89.33823529411765,79.34543299,59.2901382446289
CRI,52.985702270815814,1.3119790443472863,61.19935306568539,-0.4984786324510111,0.1637118537978459,2025-08,26951.561234857145,18.414533443435175,29.54333643988816,english,,35.0,15.0,86.0,,,,4.7368421052631575,5.526086956521739,35.0,10.201796505451693,11.899347305297852,4.231938362121582,3.4054055213928223,38.769804287045666,31.68685927306617,92.30769230769232,87.17019653,55.0202903747559
CYP,46.77137870855148,2.39017701570814,67.69651564846792,-9.377563372378404,1.7150006909876776,2025-08,38404.71104586875,14.991482112436117,37.842778793418645,english,,,,,,,,,,,10.55593541453698,11.850090980529783,2.676892042160034,3.2760512828826904,54.47897623400365,7.678244972577697,94.77124183006535,89.60099246,120.87727355957
CZE,46.748101683724,1.711132868072996,58.43525303137335,-5.602404885745038,0.3615977452825005,2025-08,49714.93948841886,25.79916047788182,43.21329639889196,english,,57.0,58.0,74.0,,,,3.588749999999999,5.738729508196721,57.0,10.814060760243944,11.81613540649414,2.4813053607940674,3.3829638957977295,43.594182825484765,13.192520775623267,88.08030112923463,87.68776014,66.7282867431641
DEU,45.998294554756974,1.8350611876849208,51.233085092986805,-3.398298321974714,-0.0388997629040479,2025-08,88693.9787891109,32.797555264515616,44.73476787262552,english,0.0198517401683628,35.0,67.0,65.0,,,,5.251794871794871,5.719660194174757,35.0,11.392947283119916,11.778071403503418,2.531214475631714,3.3581671714782715,41.48734925514306,13.777882872231414,88.28998617916824,93.49999579,76.7096862792969
DNK,44.11504424778761,2.3071425941225168,59.49185017570635,-8.668817500157267,1.0345435879022868,2025-08,113263.93711245504,22.085889570552148,42.671009771986974,english,0.020631067961165,18.0,74.0,23.0,,,,3.894267515923566,5.701388888888889,18.0,11.637476100784044,11.91166877746582,2.2173733711242676,3.3296141624450684,44.253140995812004,13.075849232201023,91.38349514563107,99.76915157,78.9604110717773
DOM,55.99639314697926,0.5788662042274328,62.88241240350119,1.8219184229913807,-0.4468490277980117,2025-08,16637.61618246597,20.33598585322723,28.561872909699005,english,,,,,,,,,,,9.719421445847487,10.751839637756348,3.3707492351531982,3.493645429611206,33.7123745819398,37.7257525083612,91.5057915057915,91.0022446,57.6509476207267
DZA,54.74683544303798,0.2541380965072279,63.23185256775279,0.4290405278513347,-0.7461326514446154,2025-08,8969.58842511948,34.47395301327886,29.59409594095941,english,0.042152466367713,,,,,,,,,,9.101595070512923,11.789299011230469,3.5679261684417725,3.6328413486480713,29.81549815498155,40.59040590405904,88.78923766816143,77.4178009,54.4283410150344
ECU,56.32911392405063,0.956858634417044,55.39768734951225,5.224441516878095,-0.6138568205775772,2025-08,9988.291688510177,16.469428007889547,19.061413673232902,spanish,,78.0,8.0,67.0,,,,5.599999999999999,5.510204081632653,78.0,9.209168854868931,11.76071834564209,3.139153480529785,3.3742756843566895,26.535341830822713,54.40324449594438,90.25974025974025,77.17273115,67.8851161961618
EGY,59.126454320045774,0.2811923790687435,60.84668295753119,5.786918344585125,-0.8927544839058273,2025-08,5227.316547705825,47.30105731775181,29.20531005637389,english,0.0292365998917162,,,,80.0,38.0,68.0,4.918303571428571,4.631426202321724,80.0,8.56165333699131,11.921286582946776,3.469752550125122,3.5489912033081055,45.60829241680305,25.18639752682306,98.97130481862479,74.64839935,37.5781274463676
ESP,50.44025157232704,1.2605807317206792,55.20073625678151,-0.5836428615194151,-0.3244757162533798,2025-08,53518.68827011927,33.122701122323875,37.25072741466184,english,0.0159229408295655,57.0,51.0,86.0,,,,5.519189189189189,4.825418994413408,57.0,10.887786185348528,11.830365180969238,2.9741463661193848,3.3785030841827393,44.88680718188915,17.86246540344901,85.49243168861804,95.7574516,93.7689666748047
EST,50.43478260869565,3.10575549323648,67.85011259433855,-5.77715607623616,2.4417633294762475,2025-08,49410.33974231546,14.550641940085592,47.68583450210379,english,,40.0,60.0,60.0,,,,,,40.0,10.807914987799064,11.854137420654297,2.3713886737823486,3.4347825050354004,40.53295932678822,11.781206171107996,94.94949494949496,92.23796204,65.6692276000977
FIN,44.550898203592816,1.8895174643237136,61.237413758953565,-8.948892999789436,0.7440216629927001,2025-08,86239.00920358354,18.735362997658076,43.108182317408016,english,,33.0,63.0,59.0,,,,4.889090909090907,5.924418604651163,33.0,11.364877897250103,12.27896785736084,2.5231411457061768,3.369028091430664,40.25260845689182,16.639209225700164,94.11764705882352,93.72405196,110.304496765137
FRA,48.98868865030675,1.9438095632497092,52.34030143192482,-0.8620204775858653,0.1504705656708564,2025-08,75225.64794338809,32.21784776902887,40.17413758855856,french,0.0264462809917355,68.0,71.0,86.0,,,,5.277027027027027,6.142265193370166,68.0,11.22824751486611,11.871027946472168,2.7619102001190186,3.4259798526763916,41.7334304442826,18.09243196715884,66.10651974288338,88.65381638,71.5346908569336
GBR,45.493174518201286,2.6652636438018495,48.50992725719863,-2.78653615202888,0.5930159669831898,2025-08,83152.8295627269,26.752676904941215,41.995374743493706,english,0.0191667623091931,35.0,89.0,35.0,,,,5.153086419753086,5.68213572854291,35.0,11.32843551365996,12.22017765045166,2.7171263694763184,3.3270263671875,44.246115761701574,13.758509494804732,99.42614484104212,95.4720993,80.4146499633789
GEO,49.03920061491161,2.191490694350285,64.60490319281288,-5.841740435839213,1.2911986218217844,2025-08,14463.249642754525,23.44569288389513,36.37691745799854,english,,,,,,,,5.221666666666667,4.417643229166666,,9.579366203711222,11.713659286499023,2.5000948905944824,3.3929874897003174,44.631117604090576,18.99196493791089,92.63157894736842,83.79855689,78.2652247393707
GHA,60.06528835690968,0.3483687568154062,57.36356220278457,8.154327524228698,-1.0792015291002368,2025-08,3978.246329458356,22.938689217758984,30.744336569579296,english,0.0632411067193675,,,,77.0,20.0,54.0,,,77.0,8.288596380437534,11.97930145263672,4.6748576164245605,3.5543336868286133,40.77669902912622,28.478964401294505,100.0,72.17569733,21.330810546875
GRC,48.15506772536198,1.28477675431947,61.32872455902635,-5.382173899190292,0.1459297485073565,2025-08,39376.65689246587,21.617915904936016,37.43565746373421,english,,60.0,35.0,112.0,,,,5.403333333333333,5.745726495726496,60.0,10.58092845505126,12.37201690673828,2.8258070945739746,3.3795039653778076,46.70098268600842,15.86335985025737,93.631669535284,86.26968886,165.113418579102
GTM,51.98915009041591,0.3656013171046337,51.07407551673455,2.6577737663369945,-1.5199379151027796,2025-08,9620.500626667832,13.082437275985663,30.816831683168317,english,,95.0,6.0,101.0,,,,5.602419354838711,5.252252252252252,95.0,9.17165158249987,11.784653663635254,3.257908582687378,3.4665842056274414,39.72772277227723,29.455445544554458,93.24894514767932,60.22140121,27.2948879201171
HND,53.755868544600936,0.2360295771042157,53.00802988739822,3.631295735032616,-1.508688775829591,2025-08,5256.315221358912,11.778290993071591,30.788804071246823,english,,,,,,,,,,,8.56718553198842,11.361323356628418,3.0900254249572754,3.435114622116089,35.87786259541985,33.33333333333333,96.66666666666669,58.62269974,23.3177890777588
HRV,49.54441913439636,1.4189268455426038,68.12206284811664,-6.779057851953965,0.7747367383544552,2025-08,38045.172524694855,17.22222222222222,43.08943089430895,english,,73.0,33.0,80.0,,,,,,73.0,10.546529483353789,11.74448299407959,2.6879444122314453,3.421602725982666,46.45760743321719,10.452961672473869,95.3405017921147,83.63240029,81.1775207519531
HUN,48.717948717948715,0.9456727203268284,64.83044578140236,-6.255496887879055,0.0618035304271022,2025-08,36106.862456746145,23.753280839895012,44.363193174893354,english,,46.0,80.0,82.0,,,,5.558247422680412,5.011839708561021,46.0,10.494238222009804,11.660985946655272,2.59559965133667,3.3609251976013184,40.402193784277884,15.234613040828762,96.35416666666666,93.77898628,60.5168685913086
IDN,54.7158096743241,0.3579440501634318,52.34817018261749,4.861873238957585,-1.434821984367205,2025-08,7231.199089520412,28.813653238765447,19.030907278165504,english,0.0439499816108863,78.0,14.0,48.0,,,,5.1789772727272725,4.467440119760479,78.0,8.886160150574304,12.194177627563477,3.7049410343170166,3.5834097862243652,22.161515453639083,58.80757726819541,97.42552408973889,72.78075544,44.8813034886441
IND,58.305568776772965,0.267048037486808,55.58281830809711,7.124966333229203,-1.29018710754593,2025-08,3948.7128605939074,52.14582038420955,27.817374238198532,english,0.0395431834403997,77.0,48.0,40.0,,,,5.466019417475729,5.070540935672514,77.0,8.281144946714395,12.246807098388672,3.8138930797576904,3.601466417312622,51.31529112006334,20.86733464173811,99.92862241256245,64.9434967,34.4184659748952
IRL,46.68304668304668,2.257524240446821,56.130005454779685,-4.721980353050753,0.7401325251722597,2025-08,163661.46945325768,16.177178623013962,39.20879120879121,english,0.0216508795669824,28.0,70.0,35.0,,,,5.150666666666668,5.761217948717948,28.0,12.005555362736272,12.264615058898926,6.2592926025390625,3.3287911415100098,40.61538461538461,20.175824175824175,99.05277401894452,97.18769836,77.5933380126953
IRQ,45.25735294117647,0.3940667108563072,47.64309072962976,-2.666831405583345,-1.741299664030104,2025-08,10043.662811380043,13.521126760563378,47.83549783549784,english,0.048582995951417,,,,80.0,38.0,68.0,,,80.0,9.214697148565012,9.05627727508545,2.3045952320098877,3.4418675899505615,13.945578231292515,38.218923933209645,97.57085020242916,81.47450256,
ISR,45.99400973418196,7.00376424055597,51.542587112803346,-3.529523011501297,5.152339678223445,2025-08,90237.43265143564,23.454313332117454,41.631931287103704,english,0.0220095693779904,13.0,54.0,81.0,,,,4.72638888888889,4.8015432098765425,13.0,11.410199616099286,11.368182182312012,2.4733211994171143,3.3282828330993652,45.118100290514086,13.249968422382215,97.22488038277513,88.18242225,56.2561111450195
ITA,47.98272933182333,1.4724186837774282,53.24345405997652,-2.2384008883649074,-0.2551572590314901,2025-08,63346.04219526605,28.242314898341547,39.02289702461124,english,0.0243185462319615,50.0,76.0,75.0,,,,5.426877934272303,5.570488721804511,50.0,11.05636770858478,11.62861156463623,2.7130844593048096,3.3707761764526367,44.92469695114485,16.052406024243908,86.37092463923037,89.2207202,75.9496536254883
JAM,63.17567567567568,0.5726788336209688,69.81424748904487,6.158162195836212,0.0517051438641325,2025-08,9671.355122194287,5.483870967741936,33.12101910828025,english,,45.0,39.0,13.0,,,,,,45.0,9.176923715360676,11.732483863830566,3.333184242248535,3.452229261398315,35.6687898089172,31.210191082802545,100.0,90.10870361,
JOR,56.82870370370371,0.4572122869157157,68.05569089557434,0.5324486623435121,-0.1918106937144806,2025-08,7135.879551781071,29.67525195968645,31.914893617021285,english,,,,,,,,,,,8.872890795162947,11.795212745666504,3.1609575748443604,3.5039894580841064,44.680851063829785,23.404255319148938,98.73417721518987,95.62244985,35.9184001120427
JPN,43.34666898591059,1.8567345999463332,48.95222379074415,-5.1144461999969835,-0.1833072566635623,2025-08,55246.96466016575,27.103543852702437,43.08948295181687,japanese,0.0175195942830797,54.0,46.0,92.0,,,,5.10943396226415,5.3095854922279795,54.0,10.919568679593294,11.949480056762695,2.799827337265014,3.3265888690948486,44.56859292460381,12.341924123579318,80.5901337021669,85.54153081,64.4907608032227
KAZ,50.224215246636774,0.4118212959743227,66.38003387496329,-5.3847819773747005,-0.3592146434840926,2025-08,22317.150362946555,28.373450036469738,38.36116910229645,english,0.0606060606060606,,,,,,,5.312146892655367,5.132231404958676,,10.013110736433498,11.307411193847656,2.876309871673584,3.5041754245758057,34.65553235908142,26.98329853862213,82.13716108452951,93.39167254,53.4564204414133
KEN,57.37041719342603,0.458706878067009,57.83517844701598,5.2660265916157485,-0.9345226730309912,2025-08,3558.849073408154,31.881918819188193,25.736040609137056,english,0.0329218106995884,,,,64.0,27.0,52.0,,,64.0,8.177192477588836,12.525888442993164,3.7305002212524414,3.475888252258301,42.182741116751274,32.08121827411167,99.72565157750344,34.97622513,10.4185962462804
KGZ,58.16733067729084,0.2362953728670812,67.38929654972566,2.1443921428220634,-0.4612511092215122,2025-08,3906.36602991404,17.753623188405797,36.47058823529411,russian,,,,,,,,,,,8.27036281670156,11.108235359191896,3.094399690628052,3.529411792755127,38.35294117647059,25.176470588235293,80.85106382978722,92.0286026,53.1743590503791
KHM,61.11888111888112,0.2487425380612787,67.59586854284132,5.011218672915064,-0.4337624052272726,2025-08,4189.637022057561,32.87858117326057,36.25218914185639,english,,,,,,,,,,,8.34036937958309,11.185639381408691,3.244063138961792,3.5744307041168213,49.036777583187394,14.711033274956216,97.22222222222221,68.47530365,21.4437426836662
KOR,44.52803981711904,3.725454261874139,51.394917517947775,-4.934927381915415,1.8632771386203328,2025-08,51496.35067757943,30.858015785453617,33.34204337601255,korean,0.0123546511627906,60.0,18.0,85.0,,,,5.606779661016949,5.575107296137339,60.0,10.849266223511568,12.09174346923828,3.3480303287506104,3.2872819900512695,51.097465377580356,15.56049124640711,86.58430232558139,97.89563777,111.853302001953
KWT,58.07453416149069,0.3369833684618052,67.68603199185294,1.9298918715528828,-0.3389563236704838,2025-08,40520.77402630855,14.244186046511626,44.44444444444444,english,,,,,80.0,38.0,68.0,5.1241379310344835,4.994791666666667,80.0,10.609570060507629,10.909561157226562,3.3049612045288086,3.4031007289886475,38.50129198966408,17.05426356589147,99.17355371900828,99.74729919,51.8967176944636
LAO,62.880886426592795,0.2885905743125494,67.37788364810537,6.862628805795907,-0.4097869381589794,2025-08,3137.563145458921,13.648293963254591,32.35294117647059,english,,,,,,,,,,,8.051201709280198,10.463234901428224,3.261396884918213,3.382352828979492,47.05882352941176,20.588235294117645,97.22222222222221,65.59269714,14.8841695785522
LBN,53.8235294117647,0.7237694929087171,67.77799388369353,-2.3588303396155226,0.054526005539631,2025-08,7649.559298285476,34.38395415472779,28.258064516129032,english,,,,,80.0,38.0,68.0,,,80.0,8.942403317093914,12.073453903198242,3.285515546798706,3.5064432621002197,44.645161290322584,27.09677419354839,99.01960784313727,80.63400269,54.4012561547071
LKA,60.09771986970684,1.00780969097685,58.51594424716837,7.714118419743535,-0.3358499012787592,2025-08,6855.768591970304,37.865612648221344,24.57680250783699,english,,,,,,,,,,,8.832845707078214,12.002508163452148,3.1546518802642822,3.607836961746216,44.576802507836994,30.846394984326018,100.0,54.59,20.7412633848006
LTU,45.86173320350536,2.129776532955327,65.65331867785828,-9.449207381197908,1.3058248295108663,2025-08,45109.332193465,21.91387559808613,41.60377358490566,english,,42.0,60.0,65.0,,,,,,42.0,10.716844426335092,11.824528694152832,2.5128016471862793,3.375471591949463,43.39622641509434,15.0,95.86206896551724,89.16116293,75.6177368164062
LVA,49.37106918238994,2.112291617793881,68.18235358621374,-6.977135585696914,1.4724915804438194,2025-08,37168.53471842537,21.240310077519386,48.18481848184818,english,,44.0,70.0,63.0,,,,,,44.0,10.523217841433432,11.156765937805176,2.2069966793060303,3.3943893909454346,41.584158415841586,10.231023102310232,97.38562091503267,92.70757011,82.917350769043
MAR,57.29764181007011,0.7364220658651062,60.7735023021317,3.988120316620616,-0.4428534462210973,2025-08,6159.655576326082,42.063983488132095,31.56467854376453,english,0.0379048931771192,70.0,46.0,68.0,,,,5.801923076923076,5.390522875816994,70.0,8.725776142030302,11.617112159729004,3.445149183273315,3.5752999782562256,38.96204492641363,29.473276529821852,83.32184700206754,91.2,48.1839617510572
MDA,52.916666666666664,1.2359199736766049,68.22669797995405,-3.4497256128731664,0.5993488731681214,2025-08,11853.79921916384,24.94929006085193,32.838283828382835,english,,,,,,,,,,,9.380403704391265,11.653465270996094,2.982161521911621,3.412541151046753,39.76897689768977,27.39273927392739,95.8904109589041,77.3687973,74.7109378669046
MDG,56.9060773480663,0.1219382063595331,67.70417403249444,0.7539942399299235,-0.5526804731606145,2025-08,950.4549962287342,29.331046312178387,26.77760968229955,french,,,,,,,,,,,6.856940813336473,12.027231216430664,3.3364450931549072,3.6081695556640625,52.64750378214826,20.574886535552196,71.54471544715447,18.67790031,6.1466638463036
MEX,53.02139926821155,0.3995778562692801,55.10792616468092,2.035570178609426,-1.1922365581663064,2025-08,21055.23141283793,29.720889664195376,32.853137387605145,spanish,0.0268608414239482,81.0,30.0,82.0,,,,5.223882113821137,4.618032786885246,81.0,9.954904331408958,11.428902626037598,3.341367721557617,3.4646689891815186,34.51609784395243,32.63076476844242,89.70873786407768,83.12233799,48.203441619873
MKD,56.310679611650485,1.0834015899757727,67.64328197052951,0.1835709136022885,0.4043490552226598,2025-08,14284.258368739234,17.878787878787875,27.728613569321535,english,,,,,,,,,,,9.566913396533058,12.253686904907228,2.5046017169952393,3.37463116645813,52.8023598820059,19.469026548672566,98.8095238095238,93.6,55.0082015991211
MNE,47.48858447488584,2.1301752508287004,69.61481236568028,-9.447132225600626,1.5946796934123884,2025-08,20082.201107362056,6.756756756756757,42.63565891472868,english,,,,,,,,,,,9.907589184698672,12.17391300201416,3.095869541168213,3.231884002685547,57.36434108527132,,96.42857142857144,88.88258428,55.1743011474609
MOZ,66.04215456674473,0.0950271318168425,50.65117849157179,16.884226199438395,-1.8213053454789625,2025-08,1200.8185090654026,7.947019867549669,32.240437158469945,portuguese,,,,,,,,,,,7.090758694145664,10.377049446105955,4.287704944610596,3.5601093769073486,32.51366120218579,35.24590163934426,75.0,20.52729988,7.4630510423433
MUS,51.864406779661024,1.3250879343264177,65.97980319962105,-3.580438916329875,0.5249091999453782,2025-08,16566.49364893835,5.128205128205129,32.78145695364238,english,,,,,,,,,,,9.715137479636018,11.68874168395996,3.3094370365142822,3.529801368713379,52.64900662251656,14.56953642384106,93.25842696629212,73.30793533,45.7771156388358
MYS,49.769295302013425,0.7466611773005524,56.34988653355704,-1.7259142645291163,-0.7547198981581223,2025-08,16744.801251132354,31.632862118418352,30.926675663517766,english,0.020358306188925,104.0,26.0,36.0,,,,5.17391304347826,5.089583333333334,104.0,9.7258431160108,12.111785888671877,3.2763922214508057,3.4743590354919434,43.4098065677013,25.663517768780924,98.9413680781759,98.0206059,38.5013945445142
NGA,58.29953432477092,0.2018990270958249,56.643839290380015,6.683762299698451,-1.2780778796251422,2025-08,1441.664986299227,34.42742523705325,35.23859465128474,english,0.0408986175115207,,,,77.0,20.0,54.0,5.797836538461537,5.1214859437751015,77.0,7.2735539651244,11.562851905822754,4.166932106018066,3.545943021774292,47.404299947561626,17.357105401153646,99.82718894009216,41.21139908,
NLD,44.7568988173456,2.561266349939384,53.180455640157874,-5.438393086308629,0.8291031774593409,2025-08,105769.21585185928,26.64008232570105,41.46609651802076,english,0.0127511591962905,38.0,80.0,53.0,,,,4.107534246575341,5.588850174216028,38.0,11.569014790584296,12.123106956481934,2.50061559677124,3.317293643951416,48.014660965180205,10.519242516799023,88.3693972179289,97.00679779,86.5938262939453
NOR,43.8731379144642,2.2597983776357173,59.17276377490244,-8.779853004507459,0.9639650964982168,2025-08,133499.89761071428,21.348314606741575,43.844856661045526,english,0.0235690235690235,31.0,69.0,50.0,,,,,,31.0,11.801855989861206,12.116681098937988,2.339810371398926,3.3192923069000244,39.713322091062395,16.441821247892076,88.43995510662177,99.0,95.4987564086914
NPL,56.660231660231666,0.4218270479195148,62.55810596798355,2.618768722238464,-0.6275025558286769,2025-08,2250.486467692543,41.403674046161086,28.169856459330145,english,0.0463917525773195,,,,,,,,,,7.718901679692267,12.28033447265625,3.498774528503418,3.570233106613159,50.77751196172249,21.05263157894737,99.3127147766323,46.32189941,21.2915596292014
NZL,46.46549315451243,4.04852631687659,54.13837117645899,-4.122680426349618,2.3861137600977225,2025-08,74633.69897073443,20.455168631752127,43.715469613259664,english,,22.0,79.0,49.0,,,,4.8868131868131846,5.61911231884058,22.0,11.22034741302332,11.959641456604004,2.74758243560791,3.2925145626068115,46.68508287292818,9.599447513812152,99.59239130434784,93.51930237,77.2406463623047
